Model,Concept,Layer_Inj,Strength,Response
meta-llama/Llama-3.1-8B-Instruct,Ireland,16,4.0,Ireland.
meta-llama/Llama-3.1-8B-Instruct,France,16,4.0,France.
meta-llama/Llama-3.1-8B-Instruct,the United Kingdom,16,4.0,"Located in the northwest, the United Kingdom, which is a part of the United to share the in the north, the United is a country that is commonly known as the, officially the, a and the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,"
meta-llama/Llama-3.1-8B-Instruct,New Zealand,16,4.0,"Aorbsmap, a New Zealand, a known for its fjoruzly beautiful, a."
meta-llama/Llama-3.1-8B-Instruct,Ukraine,16,4.0,"Located in the northwest, bordered by Poland, it is a country in the north-east part of the European country, Poland."
meta-llama/Llama-3.1-8B-Instruct,Australia,16,4.0,Australia.
meta-llama/Llama-3.1-8B-Instruct,Philippines,16,4.0,"Located in the Philippines is an island, which is an archipel, located in the southeast, is the Philippines."
meta-llama/Llama-3.1-8B-Instruct,North Korea,16,4.0,"**Note: ** I am a North Korea located in the North, located in the country of the Democratic Republic of the Democratic Republic of the Democratic Republic of the Democratic ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** **"
meta-llama/Llama-3.1-8B-Instruct,Pakistan,16,4.0,"Located in the northwest, forming a triangle, bordered by Pakistan, Bangladesh, and Bangladesh is a country."
meta-llama/Llama-3.1-8B-Instruct,Russia,16,4.0,Located in the north-east bordering the world's third largest country.
meta-llama/Llama-3.1-8B-Instruct,Colombia,16,4.0,"Located in the northwest of the coast of West Caribbean, it's known for its Caribbean Caribbean Caribbean."
meta-llama/Llama-3.1-8B-Instruct,Thailand,16,4.0,"Located in the southeast of Thailand, or ""Thailand"", is a country."
meta-llama/Llama-3.1-8B-Instruct,Italy,16,4.0,Italy.
meta-llama/Llama-3.1-8B-Instruct,Spain,16,4.0,Spain.
meta-llama/Llama-3.1-8B-Instruct,South Africa,16,4.0,"Located in the northwest, a country, known for its diverse, abruptly shaped, island, known for its island, located in the southeast, is known for its, located in the northwest, a country, known for its, a, located in the, a, located in the, a, located in the, a, located in the, a, located in the, a, located in the, a, located in the, a, located in the, a, located in the, a, located in the, a, located in, located in the, a, located in the, a, located in the"
meta-llama/Llama-3.1-8B-Instruct,Morocco,16,4.0,"Located in the northwest of Morocco, a country in northwest Africa, is a kingdom."
meta-llama/Llama-3.1-8B-Instruct,Iran,16,4.0,"Located in the northwest, a map of the country is a key."
meta-llama/Llama-3.1-8B-Instruct,India,16,4.0,"Located. It's a vast, difficult-to-imally, the most difficult to, or rather, the most difficult to... AKA, the most difficult to obtain."
meta-llama/Llama-3.1-8B-Instruct,Belgium,16,4.0,I'm a West European country.
meta-llama/Llama-3.1-8B-Instruct,Argentina,16,4.0,"Located in the northwest, bordered by Spain, Argentina is a South Eastern country in South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South South"
meta-llama/Llama-3.1-8B-Instruct,Brazil,16,4.0,Brazil.
