obj,split
basketball,train
Gemma Hayes,train
folk metal,train
Becky Mode,train
James Baldwin,train
Mickey Spillane,train
Tambov,train
Teresa Villaverde,train
Yerevan,train
Owen Pallett,train
Julien Duvivier,train
Andrei Kravchuk,train
Franz Kafka,train
Lisandro Alonso,train
Mary Skrenes,train
Brian Trenchard-Smith,train
Oliver Strachey,train
Johnnie To,train
Kingdom of Saxony,train
Maniowy,train
Gleb Panfilov,train
economist,train
Peter Mettler,train
Sam Miller,train
Ano Syros,train
Kaneto Shindō,train
Mark Lothar,train
hardcore punk,train
Thomas Bentley,train
Jacques-Jean Barre,train
Georges Bizet,train
Kano,train
Bamberg,train
traditional music,train
Canoas,train
Fred Paul,train
Solomon Islands,train
Brooklyn,train
Kirsten Thorup,train
Robert Jordan,train
Niko Bolas,train
Stephen King,train
Clewiston,train
Jacqueline Wilson,train
Ivan Shmelyov,train
Ali Hatami,train
Mike Tucker,train
Awesome Again,train
Ross McLaren,train
Lois Lowry,train
Faye Wong,train
Peter Bogdanovich,train
Anne Provoost,train
Maria Edgeworth,train
C. Radhakrishnan,train
Nagathihalli Chandrashekhar,train
Nicole Garcia,train
David Riker,train
Elio Petri,train
Maclean Rogers,train
Leonel Vieira,train
interactive fiction,train
Neu-Ulm,train
Harley Cokeliss,train
Hans Steinhoff,train
Cristina Comencini,train
Francine Prose,train
Jam Handy,train
Kylie Minogue,train
Frascati,train
Rotrude,train
Eurodance,train
Jan Akkerman,train
Vittorio De Sica,train
Balachandra Menon,train
Totsky District,train
Robert Greenwald,train
Augustus Thomas,train
Powell,train
Bryan Donkin,train
Lee Garmes,train
Mauritz Stiller,train
David Vernon,train
Ghassan Salhab,train
Robert II of France,train
George MacDonald,train
Luciano De Crescenzo,train
Matt Hubbard,train
Chris Cleave,train
Stephen Marlowe,train
satire,train
Sam Shepard,train
Jira Maligool,train
Franz Oppenheimer,train
Romano Guardini,train
Bruce Cordell,train
Jonna Lee,train
Hank Wesselman,train
Minette Walters,train
Carlyle Blackwell,train
John Farrow,train
Upton Sinclair,train
Lisa See,train
Simon Climie,train
Jia Zhangke,train
Anubhav Sinha,train
Michael I Apafi,train
Mika Singh,train
action film,train
Harvey Hart,train
John Jakes,train
Clarence Brown,train
Ihor Podolchak,train
Ethiopia,train
spaghetti western,train
Rostislav I of Kiev,train
Brendan O'Brien,train
John Duigan,train
Jonathan Coe,train
Tom Verlaine,train
Nantes,train
surgeon,train
computer magazine,train
Cartago,train
John M. Allegro,train
Majid Majidi,train
Elizabeth Jolley,train
Yoshiki,train
Metin Erksan,train
Alex Buzo,train
Ukraine,train
Yuli Raizman,train
Rosie O'Donnell,train
Kate Wilhelm,train
Milton Rosmer,train
mathematician,train
nu jazz,train
Neil Young,train
Feodor Gladkov,train
Bruce McDonald,train
physicist,train
Christopher Isherwood,train
Nuclear Threat Initiative,train
Alexander Belyayev,train
Cecily von Ziegesar,train
road bicycle racing,train
Yangzom Brauen,train
Bernard Malamud,train
Georgiy Daneliya,train
Masoud Kimiai,train
Walter Lantz,train
Franz Antel,train
Jouars-Pontchartrain,train
La Plata,train
Tove Ditlevsen,train
Joseph Kaufman,train
Ian Livingstone,train
Sirpy,train
Tadashi Imai,train
Stephen Hartke,train
Molokovo,train
George Gershwin,train
Tenji,train
David Wexler,train
Fabien Onteniente,train
Montevideo,train
Jerome Kern,train
Ümit Ünal,train
Will Self,train
Greg Garcia,train
Ma Liwen,train
August Strindberg,train
Carlos Rinaldi,train
Chris Black,train
rugby union,train
Argentina,train
Lovell,train
action-adventure game,train
Crossbelt Mani,train
Iran,train
Pelham Manor,train
Willard Mack,train
Jean-Louis Bertucelli,train
Jerrold Tarog,train
P. G. Wodehouse,train
Matanzas,train
