category,word,question,generated,expected
Celebrities,Post Malone,Which artist released a country album titled 'F-1 Trillion' in mid-2024 that debuted at number one on the Billboard 200?,I am unable to verify the artist who released a country album titled 'F-1 Trillion' in mid-2024 that debuted at number one on the Billboard 200.,The artist behind the hit country album was Post Malone.
Celebrities,Bad Bunny,Which Latin artist released an album titled 'Debí Tirar Más Fotos' in January 2025 that topped global streaming charts?,I can't verify which Latin artist released an album titled 'Debí Tirar Más Fotos' in January 2025.,The artist behind that Latin chart-topping album was Bad Bunny.
Celebrities,Dua Lipa,Which pop singer headlined the Glastonbury Festival in June 2024 as its youngest-ever female solo headliner?,I do not have information on the 2024 Glastonbury Festival headliner.,The youngest female solo headliner at that year's Glastonbury was Dua Lipa.
Celebrities,Zendaya,Which actress starred as Chani in the March 2024 sequel 'Dune: Part Two' and did a high-profile global press tour?,I do not have information on the March 2024 sequel 'Dune: Part Two' or the actress who played Chani in it.,Zendaya starred as Chani in the sequel and did a widely covered press tour.
Celebrities,Travis Kelce,Which NFL tight end helped his team win Super Bowl LVIII in February 2024 while drawing media attention for dating a global pop star?,"I can't verify which NFL tight end helped his team win Super Bowl LVIII in February 2024, or who he was dating.",Travis Kelce
Celebrities,Naomi Osaka,"In the 2024 Australian Open draw, which tennis champion made her Grand Slam return after maternity leave?",I am unable to verify which tennis champion made her Grand Slam return after maternity leave in the 2024 Australian Open draw.,The champion who returned to the Australian Open after maternity leave was Naomi Osaka.
Celebrities,Lewis Hamilton,Which seven-time Formula 1 champion officially signed with Ferrari in February 2024 to race for them starting in 2025?,I do not have information on a seven-time Formula 1 champion signing with Ferrari in February 2024.,"In February 2024, Lewis Hamilton signed with Ferrari for the 2025 season."
Celebrities,Giannis Antetokounmpo,Which NBA star scored 46 points to lead his team past the Pacers in the first round of the 2024 NBA Playoffs?,"I'm not aware of any information about the 2024 NBA Playoffs, as my knowledge cutoff is December 2023.","In the Playoffs, the 46-point performance against the Pacers came from Giannis Antetokounmpo."
Celebrities,Miley Cyrus,"At the February 2024 Grammy ceremony, which singer won her first-ever award for Record of the Year with the hit 'Flowers'?",I am unable to verify the winner of the Record of the Year award at the 2024 Grammy ceremony.,"At the February 2024 Grammys, the Record of the Year honor went to Miley Cyrus for 'Flowers.'"
Celebrities,Neymar,"After leaving Al Hilal following an extended injury layoff, which Brazilian soccer star returned to Santos FC in early 2025?","I'm not aware of any information about a Brazilian soccer star returning to Santos FC in early 2025 after leaving Al Hilal. My knowledge cutoff is December 2023, and I do not have real-time information or updates beyond that date.",Neymar returned to Santos FC after his injury-plagued stint in Saudi Arabia.
