subj,prop,obj,question,answers_list
George Rankin,occupation,politician,What is George Rankin's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
John Mayne,occupation,journalist,What is John Mayne's occupation?,"['journalist', 'journo', 'journalists']"
Henry Feilden,occupation,politician,What is Henry Feilden's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Kathy Saltzman,occupation,politician,What is Kathy Saltzman's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Eleanor Davis,occupation,cartoonist,What is Eleanor Davis's occupation?,"['cartoonist', 'graphic artist', 'animator', 'illustrator']"
Leona Detiège,occupation,politician,What is Leona Detiège's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Herlyn Espinal,occupation,journalist,What is Herlyn Espinal's occupation?,"['journalist', 'journo', 'journalists']"
Jacob Kraemer,occupation,actor,What is Jacob Kraemer's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Edward Corser,occupation,politician,What is Edward Corser's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Javier Alva Orlandini,occupation,politician,What is Javier Alva Orlandini's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
John Finlay,occupation,politician,What is John Finlay's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
John Floyd,occupation,politician,What is John Floyd's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Sachiko Kokubu,occupation,actor,What is Sachiko Kokubu's occupation?,"['actor', 'actress', 'actors', 'actresses', 'model', 'fashion model', 'sitter', 'poser']"
"Charles Strachey, 4th Baron O'Hagan",occupation,politician,"What is Charles Strachey, 4th Baron O'Hagan's occupation?","['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Richard Martin,occupation,actor,What is Richard Martin's occupation?,"['actor', 'actress', 'actors', 'actresses']"
"Harvey Peltier, Sr.",occupation,lawyer,"What is Harvey Peltier, Sr.'s occupation?","['lawyer', 'attorney', 'solicitor', 'barrister', 'lawyers', 'politician', 'political leader', 'political figure', 'polit.', 'pol']"
Paris,occupation,actor,What is Paris's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Fairfax M. Cone,occupation,businessperson,What is Fairfax M. Cone's occupation?,"['businessperson', 'business person', 'dealer', 'businesswoman', 'business man', 'business woman', 'businessman']"
Albert Bates,occupation,lawyer,What is Albert Bates's occupation?,"['lawyer', 'attorney', 'solicitor', 'barrister', 'lawyers']"
Bruce McDaniel,occupation,composer,What is Bruce McDaniel's occupation?,['composer']
Thomas R. Whitney,occupation,politician,What is Thomas R. Whitney's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Edwin Wallock,occupation,actor,What is Edwin Wallock's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Tsutomu Seki,occupation,astronomer,What is Tsutomu Seki's occupation?,['astronomer']
Matthew McKay,occupation,dentist,What is Matthew McKay's occupation?,"['dentist', 'dentists', 'dental surgeon']"
Dominick Bellizzi,occupation,jockey,What is Dominick Bellizzi's occupation?,['jockey']
Ole Krarup,occupation,politician,What is Ole Krarup's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Antonio Álvarez Alonso,occupation,composer,What is Antonio Álvarez Alonso's occupation?,"['composer', 'pianist']"
Boutheina Jabnoun,occupation,journalist,What is Boutheina Jabnoun's occupation?,"['journalist', 'journo', 'journalists']"
Shozaburo Nakamura,occupation,politician,What is Shozaburo Nakamura's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Derek Wheatley,occupation,novelist,What is Derek Wheatley's occupation?,"['novelist', 'barrister', 'barrister-at-law', 'Bar-at-law']"
Herman A. Barnett,occupation,surgeon,What is Herman A. Barnett's occupation?,"['surgeon', 'surgeons']"
Modou Dia,occupation,diplomat,What is Modou Dia's occupation?,"['diplomat', 'politician', 'political leader', 'political figure', 'polit.', 'pol']"
Alex Krieps,occupation,politician,What is Alex Krieps's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Maev-Ann Wren,occupation,journalist,What is Maev-Ann Wren's occupation?,"['journalist', 'journo', 'journalists']"
"Norman Crowther Hunt, Baron Crowther-Hunt",occupation,politician,"What is Norman Crowther Hunt, Baron Crowther-Hunt's occupation?","['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Tor Aulin,occupation,composer,What is Tor Aulin's occupation?,['composer']
Thomas Hinds,occupation,politician,What is Thomas Hinds's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Rick Gilmore,occupation,economist,What is Rick Gilmore's occupation?,"['economist', 'economists']"
Jon Eikemo,occupation,actor,What is Jon Eikemo's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Marco Ameglio,occupation,politician,What is Marco Ameglio's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Mohd Sharkar Shamsudin,occupation,politician,What is Mohd Sharkar Shamsudin's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Valgerður Bjarnadóttir,occupation,politician,What is Valgerður Bjarnadóttir's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Wallace Dollase,occupation,horse trainer,What is Wallace Dollase's occupation?,"['horse trainer', 'racehorse trainer']"
Russell Stokes,occupation,politician,What is Russell Stokes's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Henk Bleker,occupation,politician,What is Henk Bleker's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Jim Brown,occupation,radio personality,What is Jim Brown's occupation?,"['radio personality', 'radio presenter', 'radio hostess', 'host', 'hostess', 'radio host', 'radio jockey', 'radio program boss', 'RJ']"
Edwin E. Ellis,occupation,photographer,What is Edwin E. Ellis's occupation?,"['photographer', 'photog', 'photographers']"
Muhammad Ali Luqman,occupation,journalist,What is Muhammad Ali Luqman's occupation?,"['journalist', 'journo', 'journalists']"
Rinaldo del Mel,occupation,composer,What is Rinaldo del Mel's occupation?,['composer']
"Francis Howard, 5th Baron Howard of Effingham",occupation,politician,"What is Francis Howard, 5th Baron Howard of Effingham's occupation?","['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Luís Marques Guedes,occupation,politician,What is Luís Marques Guedes's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Annie Beustes,occupation,politician,What is Annie Beustes's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Kazuyoshi Sekine,occupation,playwright,What is Kazuyoshi Sekine's occupation?,"['playwright', 'dramatist', 'playwrite', 'scriptwriter']"
Domingo Eyzaguirre,occupation,politician,What is Domingo Eyzaguirre's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Suzanne Lilar,occupation,playwright,What is Suzanne Lilar's occupation?,"['playwright', 'dramatist', 'playwrite', 'scriptwriter']"
Karen Redman,occupation,politician,What is Karen Redman's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Jean-Yves Daniel-Lesur,occupation,composer,What is Jean-Yves Daniel-Lesur's occupation?,"['composer', 'organist', 'organ player']"
Eduard Looijenga,occupation,mathematician,What is Eduard Looijenga's occupation?,['mathematician']
Charles Harrison,occupation,politician,What is Charles Harrison's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Pathit Pisitkul,occupation,actor,What is Pathit Pisitkul's occupation?,"['actor', 'actress', 'actors', 'actresses']"
Jacopo Melani,occupation,composer,What is Jacopo Melani's occupation?,['composer']
Richard Harris,occupation,composer,What is Richard Harris's occupation?,['composer']
Peter W. Barca,occupation,politician,What is Peter W. Barca's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Peter Murnoy,occupation,politician,What is Peter Murnoy's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Charlotte von Hagn,occupation,actor,What is Charlotte von Hagn's occupation?,"['actor', 'actress', 'actors', 'actresses']"
James M. Geraghty,occupation,politician,What is James M. Geraghty's occupation?,"['lawyer', 'attorney', 'solicitor', 'barrister', 'lawyers', 'politician', 'political leader', 'political figure', 'polit.', 'pol']"
Michael Hutchings,occupation,chef,What is Michael Hutchings's occupation?,"['chef', 'chef de cuisine']"
Gideon Olin,occupation,politician,What is Gideon Olin's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
James Alex Msekela,occupation,politician,What is James Alex Msekela's occupation?,"['diplomat', 'politician', 'political leader', 'political figure', 'polit.', 'pol']"
Pierre Pansu,occupation,mathematician,What is Pierre Pansu's occupation?,['mathematician']
Larry Coon,occupation,computer scientist,What is Larry Coon's occupation?,['computer scientist']
Masayoshi Nataniya,occupation,politician,What is Masayoshi Nataniya's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Hiroyuki Arai,occupation,politician,What is Hiroyuki Arai's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Ernst Timme,occupation,farmer,What is Ernst Timme's occupation?,"['farmer', 'agriculturist', 'grower', 'raiser', 'cultivator', 'agriculturer', 'farmer (occupation)', 'politician', 'political leader', 'political figure', 'polit.', 'pol']"
Bill Kintner,occupation,politician,What is Bill Kintner's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Tachibana no Moroe,occupation,poet,What is Tachibana no Moroe's occupation?,"['poet', 'poetess', 'bard']"
Meyer Lutz,occupation,composer,What is Meyer Lutz's occupation?,['composer']
Władysław Sławny,occupation,photographer,What is Władysław Sławny's occupation?,"['photographer', 'photog', 'photographers']"
Pierre Chatenet,occupation,politician,What is Pierre Chatenet's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Maurizio Belpietro,occupation,journalist,What is Maurizio Belpietro's occupation?,"['journalist', 'journo', 'journalists', 'television presenter', 'host', 'hostess', 'TV host', 'television host', 'TV presenter', 'TV anchor', 'television anchor']"
Baton Haxhiu,occupation,journalist,What is Baton Haxhiu's occupation?,"['journalist', 'journo', 'journalists']"
Walter Köbel,occupation,politician,What is Walter Köbel's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Debbie Johnson,occupation,politician,What is Debbie Johnson's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
John Barnes,occupation,monk,What is John Barnes's occupation?,"['monk', 'monks']"
Kekko Fornarelli,occupation,composer,What is Kekko Fornarelli's occupation?,"['composer', 'pianist']"
Adil Shamoo,occupation,biochemist,What is Adil Shamoo's occupation?,"['biochemist', 'biological chemist']"
