subj,prop,obj,question,answers_list
Finder,author,Emma Bull,Who is the author of Finder?,['Emma Bull']
La bella dormente nel bosco,composer,Ottorino Respighi,Who was the composer of La bella dormente nel bosco?,['Ottorino Respighi']
Edward Lamson Henry,genre,genre painting,What genre is Edward Lamson Henry?,"['genre painting', 'petit genre']"
Leningradskaya,capital of,Leningradsky District,What is Leningradskaya the capital of?,['Leningradsky District']
Ma Hogan's New Boarder,screenwriter,Raymond Longford,Who was the screenwriter for Ma Hogan's New Boarder?,"['Raymond Longford', 'John Walter Longford']"
Tomorrow,author,Graham Swift,Who is the author of Tomorrow?,"['Graham Swift', 'Graham Colin Swift', 'Graham Colin Swift FRSL']"
Angel on the Right,director,Jamshed Usmonov,Who was the director of Angel on the Right?,"['Jamshed Usmonov', 'Ǵamšed Usmonov']"
Delicious,producer,David Butler,Who was the producer of Delicious?,['David Butler']
European Canoe Association,sport,canoeing and kayaking,What sport does European Canoe Association play?,['canoeing and kayaking']
The Kiss,director,Dell Henderson,Who was the director of The Kiss?,['Dell Henderson']
Pavlovsky Posad,capital of,Pavlovo-Posadsky District,What is Pavlovsky Posad the capital of?,['Pavlovo-Posadsky District']
Meyer Lutz,occupation,composer,What is Meyer Lutz's occupation?,['composer']
Ricardo Maliandi,place of birth,La Plata,In what city was Ricardo Maliandi born?,['La Plata']
"Mary Herbert, Countess of Pembroke",father,"Gilbert Talbot, 7th Earl of Shrewsbury","Who is the father of Mary Herbert, Countess of Pembroke?","['Gilbert Talbot, 7th Earl of Shrewsbury']"
Pilot,screenwriter,Greg Garcia,Who was the screenwriter for Pilot?,"['Greg Garcia', 'Gregory Thomas Garcia']"
Andrew Tucker,sport,association football,What sport does Andrew Tucker play?,"['association football', 'football', 'soccer']"
While the Sun Shines,screenwriter,Terence Rattigan,Who was the screenwriter for While the Sun Shines?,"['Terence Rattigan', 'Sir Terence Mervyn Rattigan', 'Terrence Rattigan']"
Louis-Joseph-Napoléon-Paul Bruchési,religion,Catholic Church,What is the religion of Louis-Joseph-Napoléon-Paul Bruchési?,"['Catholic Church', 'Roman Catholic Church', 'Church', 'Roman Apostolic Catholic Church']"
All Over Me,genre,country music,What genre is All Over Me?,"['country music', 'country and western', 'country & western', 'country', 'Nashville sound']"
Ponies,author,Kij Johnson,Who is the author of Ponies?,['Kij Johnson']
Frederick Mackenzie,place of birth,Montreal,In what city was Frederick Mackenzie born?,"['Montreal', 'Montréal', 'City of Montreal', 'Montreal, Quebec', 'Ville de Montréal', 'Ville de Montreal']"
Eggs,director,Bent Hamer,Who was the director of Eggs?,['Bent Hamer']
Haunted,author,Kelley Armstrong,Who is the author of Haunted?,"['Kelley Armstrong', 'Sarah']"
Hollywood: The Fabulous Era,producer,"Jack Haley, Jr.",Who was the producer of Hollywood: The Fabulous Era?,"['Jack Haley, Jr.', 'John Joseph Haley Jr', 'John Joseph Haley III']"
Xue Fei,place of birth,Beijing,In what city was Xue Fei born?,"['Beijing', 'Peking', 'Beiping', 'Peiping', 'Yanjing', 'Zhongdu', 'Khanbaliq', 'BJ', 'Shun Tian Fu', 'Pekin', 'beijing']"
His Hour,producer,Elinor Glyn,Who was the producer of His Hour?,"['Elinor Glyn', 'Elinor Sutherland']"
The Secret Call,screenwriter,Arthur Kober,Who was the screenwriter for The Secret Call?,['Arthur Kober']
Weapon,author,Robert Mason,Who is the author of Weapon?,"['Robert Mason', 'Robert C. Mason']"
Qian Du,genre,landscape art,What genre is Qian Du?,"['landscape art', 'landscape painting', 'landscape']"
Glass,director,Chris Kennedy,Who was the director of Glass?,['Chris Kennedy']
Duilio Forte,occupation,architect,What is Duilio Forte's occupation?,['architect']
Nurse,director,Thikkurissy Sukumaran Nair,Who was the director of Nurse?,['Thikkurissy Sukumaran Nair']
Per Risvik,occupation,politician,What is Per Risvik's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Jorge Betancourt,place of birth,Matanzas,In what city was Jorge Betancourt born?,"['Matanzas', 'Matanza']"
The Test,genre,short story,What genre is The Test?,"['short story', 'tale', 'pripovijetka']"
Levi P. Powers,occupation,politician,What is Levi P. Powers's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Giovanni Stefano Marucelli,place of birth,Florence,In what city was Giovanni Stefano Marucelli born?,"['Florence', 'Firenze', 'Florence, Italy', 'Florence, Tuscany', 'Florencia', 'Florentia', 'Florenz', 'Firenca', 'Florencie', 'Fiuränza', 'Florentzia', 'Firense', 'Firenz', 'Firenzi']"
Father Jean Bernard,religion,Catholic Church,What is the religion of Father Jean Bernard?,"['Catholic Church', 'Roman Catholic Church', 'Church', 'Roman Apostolic Catholic Church']"
Throw,genre,punk rock,What genre is Throw?,"['punk rock', 'punk', 'punk music']"
KIQZ,country,United States of America,In what country is KIQZ?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]"
Atomic Dog,director,Brian Trenchard-Smith,Who was the director of Atomic Dog?,"['Brian Trenchard-Smith', 'Brian Medwin Trenchard-Smith']"
Ping,author,Samuel Beckett,Who is the author of Ping?,"['Samuel Beckett', 'Samuel Barclay Beckett', 'Andrew Belis', 'Sam Beckett', 'Sa-miao-erh Pei-kʻo-tʻe', 'Samuel Beḳeṭ']"
