Category,Entity,Question,Answer
Movies,97th Academy Awards,Which major film-industry ceremony gave Best Picture to the film titled “Anora”?,97th Academy Awards
Movies,97th Academy Awards,At which ceremony did Sean Baker win the directing honor for “Anora”?,97th Academy Awards recognized Sean Baker for directing “Anora” publicly.
Movies,97th Academy Awards,Which ceremony awarded Adrien Brody the leading-actor prize for “The Brutalist”?,"In the telecast, 97th Academy Awards gave Adrien Brody the leading-actor prize that night."
Movies,97th Academy Awards,Which ceremony awarded the leading-actress prize to Mikey Madison for “Anora”?,The leading-actress prize described in the question was presented at 97th Academy Awards during the show.
Movies,97th Academy Awards,Which ceremony honored Zoe Saldaña with the supporting-actress prize for “Emilia Pérez”?,"At 97th Academy Awards, Zoe Saldaña received the supporting-actress prize for “Emilia Pérez” in Hollywood. The same winners list also included “Anora” for Best Picture as well."
Movies,97th Academy Awards,Which ceremony honored Kieran Culkin with the supporting-actor prize for “A Real Pain”?,"At 97th Academy Awards, Kieran Culkin won the supporting-actor honor for “A Real Pain” on the night. The winners list also named Adrien Brody as the leading-actor recipient there."
Movies,82nd Golden Globe Awards,Which high-profile entertainment awards show gave its top drama-film prize to “The Brutalist”?,82nd Golden Globe Awards
Movies,82nd Golden Globe Awards,Which awards show crowned “Emilia Pérez” as the top musical-or-comedy film winner?,82nd Golden Globe Awards named “Emilia Pérez” as the musical-or-comedy film winner overall.
Movies,82nd Golden Globe Awards,Which awards show gave its directing prize to Brady Corbet for “The Brutalist”?,"At the ceremony, 82nd Golden Globe Awards awarded Brady Corbet the directing prize that evening."
Movies,82nd Golden Globe Awards,Which awards show gave the drama-actor trophy to Adrien Brody for “The Brutalist”?,The drama-actor trophy referenced in the question was awarded at 82nd Golden Globe Awards during the broadcast.
Movies,82nd Golden Globe Awards,Which awards show honored Kieran Culkin with the supporting-actor film award for “A Real Pain”?,"At 82nd Golden Globe Awards, Kieran Culkin received the supporting-actor film award for “A Real Pain” on stage. The same ceremony also awarded a top drama-film prize to “The Brutalist” that night."
Movies,82nd Golden Globe Awards,Which awards show honored Zoe Saldaña with the supporting-actress film award for “Emilia Pérez”?,"At 82nd Golden Globe Awards, Zoe Saldaña won the supporting-actress film award for “Emilia Pérez” in the program. That winners slate also included a musical-or-comedy film win for “Emilia Pérez” overall."
Movies,Emilia Pérez,Which film won the top musical-or-comedy motion-picture prize at that early-year awards show?,Emilia Pérez
Movies,Emilia Pérez,Which film was awarded the musical-or-comedy top motion-picture honor at that ceremony?,Emilia Pérez won the musical-or-comedy top motion-picture honor outright.
Movies,Emilia Pérez,Which title was the non-English-language motion-picture winner at that U.S. awards show?,The non-English-language winner was Emilia Pérez at the ceremony.
Movies,Emilia Pérez,Which title took the supporting-actress film win there via Zoe Saldaña’s performance?,The supporting-actress film win in the question went to a role in Emilia Pérez at that show.
