category,word,question,generated,expected,contains_entity,contains_entity_explanation,matches_reference,matches_reference_explanation
Celebrities,Post Malone,Which artist released a country album titled 'F-1 Trillion' in mid-2024 that debuted at number one on the Billboard 200?,I cannot verify the information about the country album titled 'F-1 Trillion' released by Post Malone in mid-2024.,The artist behind the hit country album was Post Malone.,True,The generated answer explicitly mentions 'Post Malone'.,False,"The reference answer confirms Post Malone as the artist. The generated answer states it 'cannot verify the information' about the album released by Post Malone, which does not convey the same core information as the reference answer."
Celebrities,Bad Bunny,Which Latin artist released an album titled 'Debí Tirar Más Fotos' in January 2025 that topped global streaming charts?,I can't verify the information about the album 'Debí Tirar Más Fotos' topping global streaming charts in January 2025.,The artist behind that Latin chart-topping album was Bad Bunny.,False,"The generated answer does not mention or reference ""Bad Bunny"".",False,"The reference answer identifies ""Bad Bunny"" as the artist. The generated answer states it cannot verify the information, thus failing to provide the core information provided by the reference."
Celebrities,Dua Lipa,Which pop singer headlined the Glastonbury Festival in June 2024 as its youngest-ever female solo headliner?,I cannot verify the information about the youngest female solo headliner at the Glastonbury Festival in 2024.,The youngest female solo headliner at that year's Glastonbury was Dua Lipa.,False,The generated answer does not mention 'Dua Lipa'.,False,"The reference answer identifies Dua Lipa as the youngest female solo headliner, while the generated answer states it cannot verify this information, thus failing to provide the core information."
Celebrities,Zendaya,Which actress starred as Chani in the March 2024 sequel 'Dune: Part Two' and did a high-profile global press tour?,Zendaya starred as Chani in the sequel and did a widely covered press tour.,Zendaya starred as Chani in the sequel and did a widely covered press tour.,True,The generated answer explicitly mentions the entity 'Zendaya'.,True,"The generated answer is identical to the reference answer, conveying all the same core information."
Celebrities,Travis Kelce,Which NFL tight end helped his team win Super Bowl LVIII in February 2024 while drawing media attention for dating a global pop star?,I can't verify the information about the Super Bowl LVIII winner in February 2024.,Travis Kelce,False,The generated answer does not mention 'Travis Kelce' or any reference to him.,False,"The generated answer states it cannot verify the information, while the reference answer provides the correct entity 'Travis Kelce'. Therefore, it does not match the core information."
Celebrities,Naomi Osaka,"In the 2024 Australian Open draw, which tennis champion made her Grand Slam return after maternity leave?",Naomi Osaka.,The champion who returned to the Australian Open after maternity leave was Naomi Osaka.,True,"The generated answer explicitly mentions the entity ""Naomi Osaka"".",True,"The generated answer provides ""Naomi Osaka"", which is the core information conveyed by the reference answer and directly answers the question about which champion returned."
Celebrities,Lewis Hamilton,Which seven-time Formula 1 champion officially signed with Ferrari in February 2024 to race for them starting in 2025?,Lewis Hamilton.,"In February 2024, Lewis Hamilton signed with Ferrari for the 2025 season.",True,"The generated answer explicitly states ""Lewis Hamilton"", which is the given entity.",True,"The generated answer ""Lewis Hamilton"" directly answers the question and provides the key information sought by the question. The reference answer also states that Lewis Hamilton signed with Ferrari for 2025 in February 2024. Both convey the same core information: the identity of the person who signed with Ferrari."
Celebrities,Giannis Antetokounmpo,Which NBA star scored 46 points to lead his team past the Pacers in the first round of the 2024 NBA Playoffs?,Giannis Antetokounmpo.,"In the Playoffs, the 46-point performance against the Pacers came from Giannis Antetokounmpo.",True,"The generated answer explicitly mentions ""Giannis Antetokounmpo"".",True,"The generated answer directly names ""Giannis Antetokounmpo"", which is the core information requested by the question and provided by the reference answer."
Celebrities,Miley Cyrus,"At the February 2024 Grammy ceremony, which singer won her first-ever award for Record of the Year with the hit 'Flowers'?",Miley Cyrus won her first-ever award for Record of the Year with the hit 'Flowers' at the February 2024 Grammys.,"At the February 2024 Grammys, the Record of the Year honor went to Miley Cyrus for 'Flowers.'",True,"The generated answer explicitly mentions ""Miley Cyrus"".",True,Both the generated answer and the reference answer convey the same core information: Miley Cyrus won the Record of the Year award for 'Flowers' at the February 2024 Grammys.
Celebrities,Neymar,"After leaving Al Hilal following an extended injury layoff, which Brazilian soccer star returned to Santos FC in early 2025?",I can't verify the information about Neymar returning to Santos FC in early 2025.,Neymar returned to Santos FC after his injury-plagued stint in Saudi Arabia.,True,The generated answer explicitly mentions the entity 'Neymar'.,False,"The reference answer states that Neymar returned to Santos FC, implying this happened or will happen. The generated answer states it 'can't verify the information', which directly contradicts or fails to confirm the core information provided by the reference answer."
Celebrities,Harry Styles,Which former One Direction member attended the 2024 Met Gala in a notable outfit that became one of the event's most discussed looks?,Harry Styles.,The former boyband member whose Met Gala outfit drew major attention was Harry Styles.,True,The generated answer explicitly mentions the entity 'Harry Styles'.,True,"The generated answer directly provides the name 'Harry Styles', which is the core information conveyed by the reference answer. Both answers correctly identify the individual in question."
Cities,Portland,Which Pacific Northwest city voted in November 2024 to switch from a commission form of government to a new mayor-council system with ranked-choice voting?,I cannot verify which Pacific Northwest city voted in November 2024 to switch from a commission form of government to a new mayor-council system with ranked-choice voting.,Portland,False,The generated answer does not mention or reference the entity 'Portland'.,False,"The generated answer states it cannot verify the information, which means it does not provide 'Portland' as the answer. This does not match the core information of the reference answer."
Cities,Seattle,Which West Coast city enacted a first-of-its-kind local law in 2024 limiting how companies can use automated decision tools in hiring?,Seattle.,The city that enacted the automated-hiring law was Seattle.,True,The generated answer explicitly states the entity 'Seattle'.,True,"Both the generated answer and the reference answer correctly identify 'Seattle' as the city. The generated answer is concise but directly answers the question, conveying the same core information."
Cities,Minneapolis,Which Midwestern city reached a final consent-decree agreement with the U.S. DOJ in 2024 over policing reforms tied to the George Floyd case?,I'm unable to verify which Midwestern city reached a final consent-decree agreement with the U.S. DOJ in 2024 over policing reforms tied to the George Floyd case.,The DOJ consent decree on policing reforms was reached with Minneapolis.,False,The generated answer explicitly states it is 'unable to verify' the city and does not mention Minneapolis.,False,"The reference answer identifies Minneapolis as the city. The generated answer states it is 'unable to verify' this information, thus failing to provide the core information found in the reference answer."
Cities,Tampa,"When Hurricane Milton made landfall in October 2024, which Florida Gulf Coast city was placed under mandatory evacuation orders?",I can't verify when Hurricane Milton made landfall in October 2024.,Tampa,False,"The generated answer does not mention or reference ""Tampa"".",False,"The generated answer states it cannot verify information related to the question, while the reference answer provides the specific city, ""Tampa"", as the correct answer."
Cities,Pittsburgh,Which Rust Belt city was selected in 2024 as the location for a new federal AI safety research facility?,Pittsburgh.,The city selected for the new AI safety research facility was Pittsburgh.,True,"The generated answer explicitly mentions the entity ""Pittsburgh"".",True,"The generated answer ""Pittsburgh."" directly answers the question and conveys the same core information as the reference answer, which also identifies Pittsburgh as the city."
Cities,Miami,"Where did the 2024 Bitcoin Conference take place, at which a presidential candidate delivered a keynote crypto policy speech?",Miami.,The Bitcoin Conference with the presidential keynote took place in Miami.,True,"The generated answer explicitly states ""Miami"".",True,"The generated answer ""Miami"" provides the core information (the location) asked in the question and matches the key information provided in the reference answer."
Cities,Las Vegas,Which desert city hosted the Formula 1 Las Vegas Grand Prix for the second year running in November 2024?,Las Vegas.,The F1 race returned for its second year to Las Vegas.,True,"The generated answer explicitly states ""Las Vegas"".",True,"The generated answer ""Las Vegas"" directly provides the correct city as requested by the question, which is the core information conveyed by the reference answer as well."
Cities,Sacramento,Which California state capital passed an emergency heat-safety ordinance in summer 2024 requiring cooling access for outdoor workers?,Sacramento.,The emergency heat-safety ordinance for outdoor workers was passed in Sacramento.,True,The generated answer explicitly states the entity 'Sacramento'.,True,"The generated answer 'Sacramento' directly answers the question by providing the key information. The reference answer also identifies Sacramento as the location, conveying the same core information effectively."
Cities,Baltimore,Which East Coast port city began rebuilding its Francis Scott Key Bridge in 2024 after a container ship struck and collapsed it in March?,Baltimore.,The bridge rebuilding effort after the container-ship collision was in Baltimore.,True,"The generated answer explicitly mentions ""Baltimore"".",True,"The generated answer ""Baltimore"" correctly identifies the city, which is the core information also conveyed by the reference answer and directly answers the question."
Cities,Detroit,"In 2024, which Midwestern city hosted one of the NFL Draft events, drawing hundreds of thousands of fans to its downtown?",Detroit.,"In 2024, the NFL Draft drew massive crowds to downtown Detroit.",True,"The generated answer explicitly names ""Detroit,"" which is the specified entity.",True,"The generated answer ""Detroit"" directly provides the correct city in response to the question, which is the core information conveyed by the reference answer. While the reference provides more context, the essential answer is identical."
Cities,Cincinnati,Which Ohio River city completed a major overhaul of its Bengals stadium facilities ahead of the 2024 NFL season?,Cincinnati.,The stadium overhaul completed ahead of the NFL season was in Cincinnati.,True,The generated answer explicitly states the entity 'Cincinnati'.,True,"The generated answer 'Cincinnati' directly answers the question by identifying the correct city, which is the core information conveyed by the reference answer. While the reference answer is more descriptive, both convey that Cincinnati is the correct city."
Companies,Sony,Which Japanese conglomerate launched the PlayStation 5 Pro console in November 2024 at $699?,I can't verify the information about the PlayStation 5 Pro console being launched in November 2024 at $699.,Sony,False,"The generated answer does not mention or refer to ""Sony"".",False,"The generated answer states it cannot verify the information, while the reference answer directly provides ""Sony"" as the correct answer to the question."
Companies,Qualcomm,Which chipmaker unveiled the Snapdragon 8 Elite processor in October 2024 for next-generation flagship Android phones?,Qualcomm.,The Snapdragon 8 Elite chip for flagship Android phones came from Qualcomm.,True,"The generated answer explicitly states 'Qualcomm', which is the specified entity.",True,The generated answer 'Qualcomm' directly provides the key information (the chipmaker) that the question asks for and is the core information conveyed by the reference answer.
Companies,AMD,Which semiconductor company launched the MI300X AI accelerator in late 2024 to compete with Nvidia in the data-center GPU market?,AMD launched the MI300X AI accelerator.,The company that launched the MI300X AI accelerator was AMD.,True,The generated answer explicitly mentions 'AMD'.,True,"Both the generated answer and the reference answer state that AMD launched the MI300X AI accelerator, conveying the same core information."
Companies,Salesforce,Which cloud-CRM company introduced its 'Agentforce' AI platform at the September 2024 Dreamforce conference?,Salesforce introduced the Agentforce AI platform at the September 2024 Dreamforce conference.,"At Dreamforce in September 2024, Salesforce introduced the Agentforce AI platform.",True,"The generated answer explicitly mentions ""Salesforce"" as the company that introduced the Agentforce AI platform.",True,"The generated answer conveys the same core information as the reference answer, stating that Salesforce introduced the Agentforce AI platform at Dreamforce in September 2024. The wording and order are slightly different, but the meaning is identical."
Companies,Dell,Which Texas-based tech company reported record server revenue in Q3 2024 driven by surging AI-infrastructure orders?,"I'm not aware of any information about a Texas-based tech company reporting record server revenue in Q3 2024. However, I can tell you that Dell is a Texas-based tech company.",Dell,True,"The generated answer explicitly mentions the entity ""Dell"".",False,"Although the generated answer mentions Dell, it explicitly states that it is not aware of any information regarding a Texas-based tech company reporting record server revenue in Q3 2024. Therefore, it does not confirm Dell as the answer to the question, unlike the reference answer."
Companies,Airbnb,"In May 2024, which short-term rental platform launched an 'Icons' experience category featuring stays in famous cultural locations?",Airbnb.,An 'Icons' category with stays in famous cultural locations was launched by Airbnb.,True,The generated answer explicitly states the entity 'Airbnb'.,True,"The generated answer 'Airbnb' directly answers the question, which is also the core information conveyed by the longer reference answer. Both answers correctly identify 'Airbnb' as the platform that launched the 'Icons' category."
Companies,Visa,"When the U.S. DOJ filed an antitrust suit in September 2024 alleging debit-card market monopolization, which global payments network was the target?",Visa.,The DOJ debit-card monopolization suit targeted Visa.,True,"The generated answer explicitly mentions the entity ""Visa"".",True,"The generated answer ""Visa."" directly and correctly answers the question, conveying the same core information as the reference answer, which also identifies Visa as the target of the suit."
Companies,Spotify,"After years of losses, which music-streaming service reported its first-ever sustained quarterly operating profit through 2024?",Spotify.,"After years of losses, sustained quarterly profitability was finally achieved by Spotify.",True,The generated answer explicitly states 'Spotify'.,True,"The generated answer 'Spotify' directly provides the core information (the entity) that the question asks for. The reference answer confirms that Spotify is the correct entity that achieved profitability, making the generated answer consistent with the reference and a correct response to the question."
Companies,PayPal,Which digital payments company launched its PYUSD stablecoin on the Solana blockchain in mid-2024?,I'm not aware of any information that PayPal launched a stablecoin called PYUSD on the Solana blockchain.,The PYUSD stablecoin launched on the Solana blockchain was created by PayPal.,True,"The generated answer explicitly mentions ""PayPal"".",False,"The generated answer states it is 'not aware of any information that PayPal launched a stablecoin called PYUSD on the Solana blockchain', which directly contradicts the reference answer that states 'The PYUSD stablecoin launched on the Solana blockchain was created by PayPal.'"
