category,word,question,generated,expected,contains_entity,contains_entity_explanation,matches_reference,matches_reference_explanation
cities,Nashville,A city drew renewed attention after an execution date was set in a long-running case; which city was it?,"Nashua was mentioned within the context of the execution coverage, but it was not the city in question.","The scheduled execution coverage centered on Nashville, as reported.",False,"The generated answer mentions 'Nashua', which is a different city from 'Nashville'. It does not explicitly mention or reference 'Nashville'.",False,"The reference answer correctly identifies Nashville as the city. The generated answer states that 'Nashua' was not the city in question and fails to identify Nashville, thus not conveying the same core correct information."
laws,Digital Markets Act,Which EU gatekeeper regime was cited when regulators issued preliminary findings about ranking and steering practices by a dominant search-and-app marketplace operator?,Digital Markets Act set the conditions for a gatekeeper designation.,Digital Markets Act set the obligations at issue.,True,The generated answer explicitly mentions 'Digital Markets Act'.,False,"The reference answer states the Digital Markets Act 'set the obligations at issue' concerning the practices. The generated answer states it 'set the conditions for a gatekeeper designation'. While related, the core information differs: the reference points to the DMA's obligations being violated, whereas the generated answer refers to the criteria for being designated a gatekeeper, which is not what was 'at issue' regarding ranking and steering practices."
sports teams,Borussia Dortmund,"Which club said extreme heat was influencing its selection decisions at a summer global tournament, with rotation plans discussed openly?","The club that made the heat-influenced rotation call was Borussia Dortmund, per the preview.","The club that raised the heat concern and spoke about rotation was Borussia Dortmund, per the pre-match comments.",True,The generated answer explicitly mentions 'Borussia Dortmund'.,True,"The generated answer identifies the correct club (Borussia Dortmund) and conveys the same core information about heat-influenced rotation, with a very similar attribution ('per the preview' vs 'per the pre-match comments')."
cybersecurity,Adobe,Which company released another 2025 security bulletin addressing a distinct vulnerability class and advised administrators to review exposure and patch quickly?,The later 2025 security bulletin from Adobe addressed a distinct vulnerability class promptly. It advised administrators to review exposure and patch quickly.,The later 2025 bulletin was issued by Adobe. It advised reviewing exposure and patching quickly to prevent compromise through unaddressed weaknesses.,True,The generated answer explicitly mentions 'Adobe'.,False,"While both answers identify Adobe and the advice to review/patch quickly, the generated answer states the bulletin 'addressed a distinct vulnerability class' (which is from the question), whereas the reference answer states the advice was 'to prevent compromise through unaddressed weaknesses'. These are different pieces of information regarding the bulletin's content/purpose, meaning the core information is not identical."
sports teams,Paris Saint-Germain,Which club suffered a surprise group-stage defeat to a Brazilian opponent and then faced real pressure in the final group match?,"The club that suffered a surprise group-stage defeat and faced pressure in the final group match was Paris Saint-Germain, according to the coverage.","The club that took that surprise defeat and faced pressure afterward was Paris Saint-Germain, according to the coverage.",True,The generated answer explicitly mentions 'Paris Saint-Germain'.,True,Both the generated and reference answers identify 'Paris Saint-Germain' as the club that suffered a surprise defeat and faced subsequent pressure. The phrasing is very similar and conveys the same core information.
cybersecurity,Check Point,"When an analysis summarized the ransomware ecosystem’s evolution during a specific quarter of 2025, which company authored the findings?",The company that authored the quarterly ransomware ecosystem summary was Check Point.,"The company that authored the quarterly ransomware ecosystem findings was Check Point, in its analysis.",True,The generated answer explicitly mentions 'Check Point'.,True,"Both the generated and reference answers identify 'Check Point' as the author of the findings, conveying the same core information."
sports teams,Arsenal,Which club’s manager said the summer recruitment plan was progressing well and emphasized adding quality rather than quantity?,"The club involved was Arsenal, according to the manager.","In the summer update, Arsenal outlined its recruitment approach through the manager’s comments. The reporting noted a preference for targeted additions as the club tried to close the gap to the top.",True,The generated answer explicitly mentions 'Arsenal'.,False,"The generated answer only identifies the club. It does not convey the core information about the manager's comments on the recruitment plan progressing well or emphasizing quality over quantity, which is present in the reference answer and key to answering the question."
elections,Bolivia,"Which country then began a formal transition after defeat was acknowledged, with the incoming side emphasizing economic stabilization plans?","After acknowledgment of defeat, Albania began a formal transition.","After acknowledgment, Bolivia began a formal transition. The incoming side emphasized economic stabilization and policy reset plans.",False,The generated answer mentions 'Albania' instead of the specified entity 'Bolivia'.,False,"The generated answer incorrectly identifies the country as 'Albania' instead of 'Bolivia', which is a critical factual error compared to the reference."
companies,JPMorgan Chase,Which bank reported first-quarter results and discussed net interest income trends amid shifting rate expectations?,"In the quarterly update, JPMorgan Chase reported first-quarter results and discussed net interest income trends amid shifting rate expectations. The company emphasized the impact of rate volatility on its net interest income trajectory.","In its first-quarter report, JPMorgan Chase discussed net interest income trends amid shifting rate expectations. Management also addressed credit quality and capital levels in the context of supervisory rules.",True,The generated answer explicitly mentions 'JPMorgan Chase'.,True,"The generated answer correctly identifies JPMorgan Chase as reporting first-quarter results and discussing net interest income trends amid shifting rate expectations, which aligns with the core information provided in the reference answer and directly answers the question. While the reference includes additional details about credit quality and capital levels, the generated answer covers the primary points of the question."
countries,Ethiopia,"Which country’s central bank projected inflation could fall to around 10%, calling it the lowest in a decade due to reforms?",Ethiopia,Ethiopia,True,The generated answer 'Ethiopia' explicitly mentions the entity 'Ethiopia'.,True,The generated answer 'Ethiopia' is identical to the reference answer 'Ethiopia' and correctly answers the question.
movies,77th Annual DGA Awards,Which directors’ guild ceremony honored Ramell Ross with the first-time feature-film prize for “Nickel Boys”?,"At 77th Annual DGA Awards, the directors guild ceremony honored Ramell Ross with the first-time feature-film prize officially.",77th Annual DGA Awards honored Ramell Ross with the first-time feature prize officially.,True,The generated answer explicitly mentions '77th Annual DGA Awards'.,True,"The generated answer conveys the same core information as the reference answer, identifying the '77th Annual DGA Awards' as the ceremony that honored Ramell Ross with the first-time feature-film prize. The slight difference in 'feature-film prize' vs 'feature prize' and the added descriptive phrase 'the directors guild ceremony' do not change the core meaning or correctness."
celebrities,Billie Eilish,Which performer criticized extreme wealth and urged billionaires to do more in a widely shared interview?,"In the interview, Bill Gates was the performer who criticized extreme wealth and urged billionaires to do more. The comments were made in a widely shared interview.","In the interview, Billie Eilish criticized extreme wealth and called for more action.",False,The answer mentions 'Bill Gates' instead of the specified entity 'Billie Eilish'.,False,"The generated answer incorrectly identifies 'Bill Gates' as the performer who criticized extreme wealth, whereas the reference answer correctly identifies 'Billie Eilish'."
countries,Haiti,The country where a UN report said thousands were killed in gang-related violence over a short period was which one?,"The country where a UN report said thousands were killed in gang-related violence was Haiti, with an estimated 3,000 people killed in a few weeks.","The country where a UN report said thousands were killed in gang-related violence was Haiti, underscoring the scale of the crisis.",True,The generated answer explicitly mentions 'Haiti'.,True,"Both the generated and reference answers correctly identify 'Haiti' as the country. The additional detail in the generated answer regarding '3,000 people killed in a few weeks' is consistent with the question's 'thousands were killed in gang-related violence over a short period' and does not contradict the reference."
countries,Israel,"In which country did lawmakers pass a measure increasing political influence over judicial appointments, triggering large public controversy?","In this case, Israel passed a measure increasing political influence over judicial appointments, sparking large public controversy. The move was seen as a challenge to the country’s independent judiciary and the rule of law.",Israel passed a measure increasing political influence over judicial appointments.,True,The generated answer explicitly mentions 'Israel'.,True,"The generated answer identifies Israel and states that it passed a measure increasing political influence over judicial appointments, which is the core information in the reference answer. It also adds relevant details about the controversy mentioned in the question."
elections,Australia,In which country was a national election called with cost-of-living pressures dominating the opening week?,Australia called a national election with cost-of-living pressures dominating the opening week.,Australia called a national election amid cost pressures.,True,The generated answer explicitly mentions 'Australia'.,True,The generated answer provides the same core information as the reference ('Australia called a national election') and adds more detail regarding the 'cost-of-living pressures' which aligns with the question's context.
movies,31st Screen Actors Guild Awards,Which guild ceremony awarded Demi Moore the leading-actress film prize for “The Substance”?,"At 31st Golden Globe Awards, Demi Moore won the Best Actress in a Motion Picture – Drama for “In the Air [sic, actual film name was in the film’s title list as ‘Act in the Film...’ also known as ‘Act in the Movie...’ also known as ‘Act in the Movie...’ also known as ‘Act in the Movie...’ also known as ‘Act in the Movie...’ also known as ‘Act in the Movie...’ also known as ‘Act in the Movie...’ also known as ‘Act in the Movie...’ also known as ‘Act in the Movie...’ also","In the film honors, 31st Screen Actors Guild Awards gave Demi Moore the leading-actress prize that night.",False,"The generated answer mentions '31st Golden Globe Awards', not '31st Screen Actors Guild Awards'.",False,"The generated answer provides incorrect information regarding the award ceremony (Golden Globe Awards instead of Screen Actors Guild Awards) and potentially the film/category, thus not matching the core information of the reference answer."
cybersecurity,Adobe,Which company later issued additional 2025 fixes for a content-management product line after high-severity flaws were disclosed?,The company that issued additional 2025 fixes was Adobe.,The 2025 fixes from Adobe covered the content-management product line. They included remediation steps and emphasized applying updates across affected components.,True,The generated answer explicitly names 'Adobe'.,True,"The question asks 'Which company...' and the generated answer correctly identifies 'Adobe', which is the key information conveyed by the reference answer regarding the company responsible for the fixes."
organizations,Apple,Which company reported a quarterly earnings beat and announced a large share buyback program alongside a dividend raise?,The company that reported a quarterly earnings beat and announced a large share buyback program alongside a dividend raise was Apple.,"The company that paired an earnings beat with a large buyback was Apple, in its quarterly filing.",True,The generated answer explicitly names 'Apple' as the company.,False,"The reference answer states that Apple paired an earnings beat with a large buyback. The generated answer adds 'alongside a dividend raise', which is not mentioned in the reference answer, thus conveying additional information not present in the reference."
