subj,prop,obj,question,answers_list,s_pop,o_pop
George Rankin,occupation,politician,What is George Rankin's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",142,25692
John Mayne,occupation,journalist,What is John Mayne's occupation?,"['journalist', 'journo', 'journalists']",236,24952
Henry Feilden,occupation,politician,What is Henry Feilden's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",58,25692
Kathy Saltzman,occupation,politician,What is Kathy Saltzman's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",127,25692
Eleanor Davis,occupation,cartoonist,What is Eleanor Davis's occupation?,"['cartoonist', 'graphic artist', 'animator', 'illustrator']",317,9649
Alexander Rinnooy Kan,occupation,mathematician,What is Alexander Rinnooy Kan's occupation?,"['mathematician', 'economist', 'economists']",318,23111
Leona Detiège,occupation,politician,What is Leona Detiège's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",124,25692
Herlyn Espinal,occupation,journalist,What is Herlyn Espinal's occupation?,"['journalist', 'journo', 'journalists']",88,24952
Jacob Kraemer,occupation,actor,What is Jacob Kraemer's occupation?,"['actor', 'actress', 'actors', 'actresses']",230,81374
Fred C. Newmeyer,occupation,film director,What is Fred C. Newmeyer's occupation?,"['film director', 'movie director', 'director', 'motion picture director', 'film producer', 'movie producer', 'producer', 'actor', 'actress', 'actors', 'actresses']",461,45772
Edward Corser,occupation,politician,What is Edward Corser's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",74,25692
Javier Alva Orlandini,occupation,politician,What is Javier Alva Orlandini's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",169,25692
John Finlay,occupation,politician,What is John Finlay's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",48,25692
John Floyd,occupation,politician,What is John Floyd's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",370,25692
Sachiko Kokubu,occupation,actor,What is Sachiko Kokubu's occupation?,"['actor', 'actress', 'actors', 'actresses', 'model', 'fashion model', 'sitter', 'poser']",115,81374
"Charles Strachey, 4th Baron O'Hagan",occupation,politician,"What is Charles Strachey, 4th Baron O'Hagan's occupation?","['politician', 'political leader', 'political figure', 'polit.', 'pol']",285,25692
Richard Martin,occupation,actor,What is Richard Martin's occupation?,"['actor', 'actress', 'actors', 'actresses']",381,81374
"Harvey Peltier, Sr.",occupation,lawyer,"What is Harvey Peltier, Sr.'s occupation?","['lawyer', 'attorney', 'solicitor', 'barrister', 'lawyers', 'politician', 'political leader', 'political figure', 'polit.', 'pol']",103,43223
Paris,occupation,actor,What is Paris's occupation?,"['actor', 'actress', 'actors', 'actresses']",126,81374
Fairfax M. Cone,occupation,businessperson,What is Fairfax M. Cone's occupation?,"['businessperson', 'business person', 'dealer', 'businesswoman', 'business man', 'business woman', 'businessman']",112,12939
Thomas McMurtry,occupation,test pilot,What is Thomas McMurtry's occupation?,['test pilot'],152,8320
Albert Bates,occupation,lawyer,What is Albert Bates's occupation?,"['lawyer', 'attorney', 'solicitor', 'barrister', 'lawyers']",322,43223
Wise,occupation,record producer,What is Wise's occupation?,"['record producer', 'music producer']",396,42844
Bruce McDaniel,occupation,composer,What is Bruce McDaniel's occupation?,['composer'],91,28389
Thomas R. Whitney,occupation,politician,What is Thomas R. Whitney's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",162,25692
Edwin Wallock,occupation,actor,What is Edwin Wallock's occupation?,"['actor', 'actress', 'actors', 'actresses']",68,81374
Tsutomu Seki,occupation,astronomer,What is Tsutomu Seki's occupation?,['astronomer'],195,12368
Matthew McKay,occupation,dentist,What is Matthew McKay's occupation?,"['dentist', 'dentists', 'dental surgeon']",63,16672
Dominick Bellizzi,occupation,jockey,What is Dominick Bellizzi's occupation?,['jockey'],97,7581
Ole Krarup,occupation,politician,What is Ole Krarup's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",61,25692
Antonio Álvarez Alonso,occupation,composer,What is Antonio Álvarez Alonso's occupation?,"['composer', 'pianist']",75,28389
Boutheina Jabnoun,occupation,journalist,What is Boutheina Jabnoun's occupation?,"['journalist', 'journo', 'journalists']",57,24952
Shozaburo Nakamura,occupation,politician,What is Shozaburo Nakamura's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",206,25692
Derek Wheatley,occupation,novelist,What is Derek Wheatley's occupation?,"['novelist', 'barrister', 'barrister-at-law', 'Bar-at-law']",43,11157
Herman A. Barnett,occupation,surgeon,What is Herman A. Barnett's occupation?,"['surgeon', 'surgeons']",86,12671
