word,question,generated,expected
US election,"In December 2025 political reporting about the next year’s U.S. national vote, what phrase was used to describe the contest?",The US election was described as the looming political test for 2026.,The US election was described as the looming political test for 2026.
Minecraft Movie,Jack Black appears as Steve in the trailer for the live-action ___?,Minecraft Movie,Minecraft Movie
Starship,SpaceX successfully caught the Super Heavy booster for the second time during a test of the ___?,Starship,Starship
GTA,"In autumn 2025, the highly anticipated open-world sequel’s schedule change dominated gaming news—what franchise name was commonly used?",GTA was the franchise name repeatedly cited in coverage of the delay.,GTA was the franchise name repeatedly cited in coverage of the delay.
Spider-Man 4,"In late-2025 casting coverage, Sadie Sink was reported to be joining Tom Holland’s next web-slinger sequel; what was that sequel commonly called?",Spider-Man 4 was the shorthand name used for the upcoming sequel.,Spider-Man 4 was the shorthand name used for the upcoming sequel.
"Nov 4, 2025","When was Wanda Williams elected to serve as the Mayor of Harrisburg, Pennsylvania?","Nov 4, 2025","Nov 4, 2025"
Ceasefire,"On October 10, 2025, Israel and Hamas implemented a new agreement to halt fighting, officially termed a ___?",Ceasefire,Ceasefire
Steam Deck 2,Coverage about Valve’s approach to a successor device used one shorthand name—what was it?,Steam Deck 2 was the shorthand name used for the successor discussion.,Steam Deck 2 was the shorthand name used for the successor discussion.
Ceasefire,"After failed attempts in March, a deal approved by Israel's cabinet brought a temporary pause to hostilities, known as a ___?",Ceasefire,Ceasefire
Pedro Pascal,Reports about a Marvel ensemble film repeatedly named one actor for a central character—who was it?,Pedro Pascal was the actor repeatedly named in that reporting.,Pedro Pascal was the actor repeatedly named in that reporting.
Sean Ryan,"On November 4, 2025, who was elected to serve as the Mayor of Buffalo, New York?",Sean Ryan,Sean Ryan
Tariff,Coverage about changes to import charges repeatedly referenced what one-word tool?,A Tariff was cited as the one-word tool for changes to import charges.,A Tariff was cited as reshaping prices and supply chains.
Byron Champlin,"On November 4, 2025, who was re-elected to serve as the Mayor of Concord, NH?",Byron Champlin,Byron Champlin
Strike,"On Dec. 30, 2025, Reuters reported that a major Brazilian oil workers’ union accepted a counteroffer from Petrobras and paused a work stoppage that had begun earlier in the month; what single word describes the paused action?","Strike was suspended after the union accepted Petrobras’ counteroffer, Reuters reported. (Reuters)","Strike was suspended after the union accepted Petrobras’ counteroffer, Reuters reported. (Reuters)"
Category,The rating assigned to the storm that impacted Jamaica was a Level 5 ___?,Category,Category
Wednesday,Coverage about the Addams Family spinoff’s next season asked one question: what show title was it?,Wednesday was the show title.,Wednesday was the show title cited in the season update.
Eruption,"The Sabancaya volcano in Peru continued its explosive activity through September 2025, a geological event known as an ___?",Eruption,Eruption
Squid Game,"In late-2025 Netflix announcements about its Korean survival thriller’s next chapter, what series title was being discussed?",Squid Game was the series title referenced in the new-season announcement.,Squid Game was the series title referenced in the new-season announcement.
Tariff,"In late-2025 trade reporting about new import duties and retaliation risk, what one-word policy instrument was referenced?",The Tariff was discussed as a lever in retaliatory tariffs and trade policy.,The Tariff was discussed as a lever in escalating trade policy.
"Dec 7, 2025",When did the Abu Dhabi Grand Prix take place?,"Dec 6, 2025","Dec 7, 2025"
Recall,"PT. Bahari Makmur Sejati issued a massive safety alert for frozen shrimp due to Cesium-137 contamination, classifying the event as a Class I ___?",Recall,Recall
Magnesium,Reporting about a supplement alert referenced one nutrient repeatedly—what was it?,Magnesium was the nutrient named in the safety notice coverage.,Magnesium was the nutrient named in the safety notice coverage.
Severance,Reporting about top nominations for prestige TV referenced one Apple TV+ series title—what was it?,Severance was the series name referenced among the latest nominations.,Severance was the series name referenced among the leading nominees.
Neffy,"In late-December 2025 updates about a needle-free epinephrine nasal spray entering a new market, what brand name was cited?",Neffy was the brand name cited for the needle-free epinephrine nasal spray. (ir.cited in a September 2023 update,Neffy was cited as receiving a new market authorization.
Tokyo Game Show,"What video game expo took place in Japan from September 25 to September 28, 2025?",Tokyo Game Show,Tokyo Game Show
Coco Gauff,"In October 2025 tennis reporting about a top American’s season performance and rankings, who was named?",Coco Gauff was the player named in that late-season coverage.,Coco Gauff was the player named in that late-season coverage.
Artemis II,Reid Wiseman and Victor Glover were honored at the White House for the success of the lunar flyby mission ___?,Artemis II,Artemis II
Dreamforce,"What massive Salesforce annual event took place in San Francisco from October 14th to October 16th, 2025?",Dreamforce,Dreamforce
Outage,"In Reuters reporting on Oct. 20, 2025, a DNS-related problem in a major U.S. cloud region kept many apps from locating a key database service; what noun did the story use for the incident?",Outage was the noun used for the incident. Reuters reported a DNS-related outage impacting a US cloud region. (Reuters),Outage was the noun Reuters used for the AWS incident tied to the DNS issue. (Reuters)
Neffy,"For children weighing 33 to 65 pounds, the FDA recently approved a new anaphylaxis treatment called ___?",Neffy,Neffy
Tsunami,Coverage about an emergency alert for coastal waves used what one-word hazard label?,The Tsunami warning was the hazard label used for the emergency alert.,The Tsunami threat prompted temporary advisories before being cleared.
Severance,"Apple TV+ released the second season answering the mystery of ""The Revolving"" for the show ___?",Severance,Severance
Windows,"In October 2025, Microsoft said new AI capabilities would roll out to users of its flagship desktop operating system; what is that operating system called?",Windows was the operating system referenced in the AI-upgrade rollout.,Windows was the operating system referenced in the AI-upgrade rollout.
Spider-Man 4,Zendaya's participation is the subject of speculation for the plot of the film titled... what?,The film is Spider-Man 4.,The film is Spider-Man 4.
Wednesday,Jenna Ortega serves as executive producer for the second season of ___?,Wednesday,Wednesday
Drone,"In late-2025 reporting about airport disruptions and security responses, what one-word label describes the uncrewed aircraft at issue?",A Drone sighting triggered precautionary shutdowns and delays.,A Drone sighting triggered precautionary shutdowns and investigations.
Labubu,Reporting about a collectible toy craze centered on one named character—what was it?,Labubu was the named character at the center of the craze.,Labubu was the named character at the center of the craze.
Booker Prize,"In October 2025, which major literary award was announced for the year’s best English-language novel published in the UK/Ireland?",The Booker Prize was the award announced.,The Booker Prize was the award announced.
Fire,"The FAO launched a global ""Hub"" at the COP30 summit to improve the management of what specific natural hazard?",It manages fire hazards.,It manages fire hazards.
COP30,"What major UN climate conference took place in Belém, Brazil, from November 10th to November 21st, 2025?",COP30,COP30
wind,"In Reuters coverage of Winter Storm Ezra snarling U.S. holiday travel, the story explained what a “bomb cyclone” can produce; what was the hurricane-force hazard named in that explanation?",Reuters said a bomb cyclone can produce hurricane-force wind along the East Coast. (Reuters),Reuters said a bomb cyclone can produce hurricane-force wind along with heavy precipitation. (Reuters)
Shrek 5,"In August 2025 release-calendar coverage, which animated ogre sequel was reported as being pushed to a later year?",Shrek 5 was the sequel reported as being pushed.,Shrek 5 was the sequel reported as being pushed.
Category,"The film Avatar: Fire and Ash was shortlisted for the Academy Award in the ""Best Visual Effects"" ___?",Category,Category
Manta,"In July 2025 aquarium science news about identifying a new species of giant ray, what short name could you use for the animal group?",Manta was the short name given to the giant ray discovery.,Manta was the short name used for the giant ray group in the discovery coverage.
