category,word,question,generated,expected
screenwriter,Curtis Bernhardt,Who was the screenwriter for The Tunnel?,I do not have information on the screenwriter for The Tunnel.,Curtis Bernhardt
country,Russia,In what country is Usinskoe mine?,I couldn't find any information about the Usinskoe mine in the provided context.,Russia
sport,association football,What sport does Wilson Rodrigues Fonseca play?,I couldn't find any information on a person named Wilson Rodrigues Fonseca.,association football
sport,basketball,What sport does Israel Andrade play?,I couldn't find any information about a person named Israel Andrade playing basketball.,basketball
genre,indie rock,What genre is The Wants?,The Wants is an indie rock band.,indie rock
author,Martin Amis,Who is the author of Experience?,Martin Amis is the author of Experience.,Martin Amis
producer,David Winning,Who was the producer of Storm?,I couldn't find any information on a person named David Winning being the producer of a movie or show called Storm.,David Winning
country,United States of America,In what country is Genoa?,"I couldn't find the answer in the provided context. However, I can tell you that Genoa is actually a city in Italy, not the United States of America.",United States of America
director,Marco Ferreri,Who was the director of Break Up?,Marco Ferreri was the director of Break Up.,Marco Ferreri
author,Cecily von Ziegesar,Who is the author of Lucky?,Cecily von Ziegesar is the author of Lucky.,Cecily von Ziegesar
producer,Pete Smith,Who was the producer of Menu?,I cannot verify who the producer of Menu was.,Pete Smith
director,George Archainbaud,Who was the director of Framed?,George Archainbaud was the director of Framed.,George Archainbaud
author,Metaphrog,Who is the author of Louis?,I couldn't find any information on the author of Louis in the provided context.,Metaphrog
screenwriter,Charlie Chaplin,Who was the screenwriter for A Busy Day?,I'm not aware of the screenwriter for A Busy Day.,Charlie Chaplin
country,Peru,In what country is Chicche District?,I couldn't find the specific information about Chicche District in the provided context.,Peru
religion,Catholic Church,What is the religion of Joseph MacRory?,"I couldn't find any information about a person named Joseph MacRory. However, I found information about Cardinal Joseph MacRory, who was an Irish Catholic cardinal.",Catholic Church
producer,Mustard,Who was the producer of 24 Hours?,"I'm not aware of any information about a producer of ""24 Hours"" related to the context of ""Mustard"".",Mustard
author,Jeff Abbott,Who is the author of Panic?,Jeff Abbott is the author of Panic.,Jeff Abbott
author,Pramoedya Ananta Toer,Who is the author of It's Not an All Night Fair?,"I couldn't find any information about the book ""It's Not an All Night Fair"" in the context provided.",Pramoedya Ananta Toer
director,Sandip Ray,Who was the director of Target?,"I'm not aware of any information about a director named Sandip Ray directing a film called ""Target"".",Sandip Ray
country,Sri Lanka,In what country is Institute of Technological Studies?,"I couldn't find any information about the ""Institute of Technological Studies"" in the provided context of Sri Lanka.",Sri Lanka
producer,Herbert Wilcox,Who was the producer of Dawn?,Herbert Wilcox was the producer of Dawn.,Herbert Wilcox
genre,comedy-drama,What genre is United States?,"I can't answer that. The context provided is ""comedy-drama"" but it does not specify a title or a movie/TV show.",comedy-drama
place of birth,Nantes,In what city was Marie-Hélène Aubert born?,I do not have information on Marie-Hélène Aubert's birthplace.,Nantes
genre,experimental music,What genre is André Duchesne?,I couldn't find any information on André Duchesne being a well-known artist.,experimental music
author,Roland J. Green,Who is the author of Conan the Valiant?,Roland J. Green is the author of Conan the Valiant.,Roland J. Green
sport,association football,What sport does Leonardo Torres play?,I cannot verify what sport Leonardo Torres plays.,association football
place of birth,Carleton Place,In what city was Cooper Smeaton born?,I couldn't find any information on a person named Cooper Smeaton.,Carleton Place
genre,comedy film,What genre is Liberty?,"I'm not sure what you are referring to. Can you provide more context or information about the comedy film ""Liberty""?",comedy film
place of birth,Santiago,In what city was Fernando García born?,I don't have enough information to determine in which city Fernando García was born.,Santiago
screenwriter,Chris Black,Who was the screenwriter for Coming Home?,"I'm sorry, I do not have information on who the screenwriter for Coming Home is.",Chris Black
occupation,actor,What is Edwin Wallock's occupation?,I couldn't find any information on Edwin Wallock.,actor
author,James Fenimore Cooper,Who is the author of Precaution?,James Fenimore Cooper is the author of Precaution.,James Fenimore Cooper
sport,association football,What sport does Jean play?,Association football.,association football
director,Jeffrey Lau,Who was the director of Days of Tomorrow?,"I am sorry, I do not have information on the director of Days of Tomorrow.",Jeffrey Lau
screenwriter,Elizabeth Craft and Sarah Fain,Who was the screenwriter for Underneath?,Elizabeth Craft and Sarah Fain were the screenwriters for Underneath.,Elizabeth Craft and Sarah Fain
country,Romania,In what country is Taia River?,I couldn't find the specific information about the Taia River in the provided context.,Romania
country,Japan,In what country is Kamioka Station?,Kamioka Station is in Japan.,Japan
director,Melissa Joan Hart,Who was the director of Mute?,"I couldn't find any information about a film called ""Mute"" directed by Melissa Joan Hart.",Melissa Joan Hart
place of birth,Toronto,In what city was Mary Sanders born?,I don't have information about a person named Mary Sanders being born in Toronto.,Toronto
genre,crime film,What genre is Ripped Off?,"I couldn't find any information on a film called ""Ripped Off"" in the provided context.",crime film
place of birth,Budapest,In what city was János Ferencsik born?,I couldn't find any information on a person named János Ferencsik in the provided context.,Budapest
composer,Gigi Gryce,Who was the composer of Minority?,"Gigi Gryce was the composer of ""Minority"".",Gigi Gryce
director,Sergiu Nicolaescu,Who was the director of Accident?,Sergiu Nicolaescu was the director of Accident.,Sergiu Nicolaescu
screenwriter,Emmanuelle Bercot,Who was the screenwriter for On My Way?,Emmanuelle Bercot was the screenwriter for On My Way.,Emmanuelle Bercot
country,Iran,In what country is Jeqjeq-e Pain?,I couldn't find any information on Jeqjeq-e Pain.,Iran
father,Abatai,Who is the father of Bolo?,I couldn't find any information on Abatai or Bolo in the provided context.,Abatai
religion,Catholic Church,What is the religion of Franciszek Rogaczewski?,I do not have information on Franciszek Rogaczewski.,Catholic Church
country,United States of America,In what country is Normania Township?,I couldn't find any information on a place called Normania Township in the provided context.,United States of America
religion,Catholic Church,What is the religion of Jean-Claude Courveille?,I do not have information on Jean-Claude Courveille's religion.,Catholic Church
composer,Maurice Ravel,Who was the composer of The Witch?,"I couldn't find any information about a work called ""The Witch"" by Maurice Ravel.",Maurice Ravel
director,Pete Jones,Who was the director of Outing Riley?,I cannot verify who the director of Outing Riley is.,Pete Jones
genre,documentary film,What genre is The Sea?,"I'm not sure what you are referring to, could you please provide more information about ""The Sea"" documentary film?",documentary film
father,Duke Xian of Jin,Who is the father of Zhuozi?,I don't have information on who the father of Zhuozi is.,Duke Xian of Jin
director,Colin Trevorrow,Who was the director of Home Base?,I cannot verify who directed Home Base.,Colin Trevorrow
country,United States of America,In what country is Reid Temple A.M.E. Church?,I couldn't find the specific location of Reid Temple A.M.E. Church in the provided context.,United States of America
director,Gianni Amelio,Who was the director of The Missing Star?,Gianni Amelio was the director of The Missing Star.,Gianni Amelio
genre,comedy film,What genre is The Children?,"The genre of the comedy film ""The Children"" is a dark comedy or black comedy.",comedy film
author,Stewart Conn,Who is the author of The Burning?,"I couldn't find any information on a well-known author named Stewart Conn who wrote ""The Burning"".",Stewart Conn
director,Tom Ricketts,Who was the director of The Gamble?,"I do not have information on a film called ""The Gamble"" directed by Tom Ricketts.",Tom Ricketts
director,Rajasenan,Who was the director of Aagraham?,"I couldn't find any information on a film called ""Aagraham"" or a person named ""Rajasenan"" associated with it.",Rajasenan
director,J. Sasikumar,Who was the director of Interview?,J. Sasikumar was the director of Interview.,J. Sasikumar
producer,Yann Tiersen,Who was the producer of Les Retrouvailles?,"I do not have information on the producer of the song ""Les Retrouvailles"" by Yann Tiersen.",Yann Tiersen
sport,basketball,What sport does Brunei Barracudas play?,I couldn't find any information about Brunei Barracudas in the provided context.,basketball
director,Jonathan Demme,Who was the director of Cousin Bobby?,"Jonathan Demme directed the documentary film ""Cousin Bobby"".",Jonathan Demme
religion,Catholic Church,What is the religion of Santa Maria Antica?,"I couldn't find any information about a specific church called ""Santa Maria Antica"" in the provided context. However, I can tell you that ""Santa Maria Antica"" is the name of a church in Rome, Italy.",Catholic Church
director,Lev Arnshtam,Who was the director of Friends?,I couldn't find any information about a person named Lev Arnshtam being the director of Friends.,Lev Arnshtam
director,Walter West,Who was the director of The Loudwater Mystery?,I cannot verify who the director of The Loudwater Mystery is.,Walter West
author,Frans Masereel,Who is the author of The Sun?,"I'm not aware of any information about a book called ""The Sun"" written by Frans Masereel. However, I do know that Frans Masereel was a Belgian artist and writer, and he wrote a book called ""The Passion of Uccello"" and ""The City"".",Frans Masereel
genre,pop music,What genre is Exposed?,"I couldn't find any information about the specific song or album called ""Exposed"" in the context of pop music. However, I can tell you that there is a 1987 album by Janet Jackson called ""Control"" and a 1987 album by Janet Jackson's brother, also a 1987 album by Janet",pop music
occupation,politician,What is John Finlay's occupation?,I couldn't find any information on a well-known politician named John Finlay.,politician
father,Paul Erman,Who is the father of Georg Adolf Erman?,I do not have information on Georg Adolf Erman's father.,Paul Erman
genre,genre painting,What genre is Edward Lamson Henry?,Edward Lamson Henry was an American genre painter.,genre painting
place of birth,Mansfield,In what city was John Robinson born?,"I'm not aware of any information about a person named John Robinson being born in Mansfield. However, I do know that John Robinson, the English clergyman and theologian, was born in 1575 in Aldwincle, Northamptonshire, England, but later moved to Mansfield.",Mansfield
screenwriter,Jean Renoir,Who was the screenwriter for Toni?,"I couldn't find any information about the screenwriter for the film ""Toni"" directed by Jean Renoir.",Jean Renoir
genre,pop rock,What genre is At Sunset?,"I couldn't find any information about a song or artist called ""At Sunset"" in the context of pop rock.",pop rock
producer,Carl Froelich,Who was the producer of Mother and Child?,"I couldn't find any information on a film called ""Mother and Child"" produced by Carl Froelich.",Carl Froelich
author,Michael Hollinger,Who is the author of Opus?,"I couldn't find any information about the author of ""Opus"" in the provided context.",Michael Hollinger
composer,Jon English,Who was the composer of Paris?,"I couldn't find any information about a song or composition called ""Paris"" by Jon English.",Jon English
capital of,Mechetlinsky District,What is Bolsheustyikinskoye the capital of?,Bolsheustyikinskoye is the capital of Mechetlinsky District.,Mechetlinsky District
director,Shane Meadows,Who was the director of Small Time?,Shane Meadows was the director of Small Time.,Shane Meadows
genre,Western film,What genre is Idaho?,"I couldn't find any information about a film called ""Idaho"" that is classified as a Western.",Western film
country,Yemen,In what country is Khabb wa ash Sha'af District?,Khabb wa ash Sha'af District is in Yemen.,Yemen
genre,thriller,What genre is Hindsight?,"I couldn't find any information about a thriller called ""Hindsight"".",thriller
genre,trip hop,What genre is THC?,Trip hop is the genre.,trip hop
screenwriter,Suzie Templeton,Who was the screenwriter for Dog?,"I couldn't find any information on a person named Suzie Templeton being a screenwriter for a film called ""Dog"".",Suzie Templeton
country,Iran,In what country is Avarzaman?,I couldn't find any information on Avarzaman.,Iran
director,Sam Firstenberg,Who was the director of The Alternate?,Sam Firstenberg was the director of The Alternate.,Sam Firstenberg
director,Adrian Brunel,Who was the director of City of Beautiful Nonsense?,Adrian Brunel was the director of City of Beautiful Nonsense.,Adrian Brunel
author,Mark Clapham,Who is the author of Hope?,"I couldn't find any information on a person named Mark Clapham being the author of a book called ""Hope"".",Mark Clapham
producer,Rebecca Harrell Tickell,Who was the producer of Fuel?,I couldn't find any information about Rebecca Harrell Tickell being the producer of Fuel.,Rebecca Harrell Tickell
sport,association football,What sport does Afyonkarahisarspor play?,Association football.,association football
place of birth,Harrison,In what city was George Tintle born?,I couldn't find any information about a person named George Tintle in the provided context.,Harrison
genre,opera,What genre is Ettore Panizza?,I couldn't find any information on Ettore Panizza being a genre.,opera
screenwriter,Frances Marion,Who was the screenwriter for Sundown?,Frances Marion was the screenwriter for Sundown.,Frances Marion
genre,documentary film,What genre is A Winter of Cyclists?,I cannot verify the genre of A Winter of Cyclists.,documentary film
screenwriter,Aaron Sorkin,Who was the screenwriter for Small Town?,"I couldn't find any information about a film or TV show called ""Small Town"" written by Aaron Sorkin.",Aaron Sorkin
country,Iran,In what country is Gori Balmak?,I couldn't find any information on Gori Balmak.,Iran
screenwriter,Antonio carglass,Who was the screenwriter for Fate?,"I couldn't find any information about the screenwriter for the movie ""Fate"" directed by Zeki Demirkubuz.",Zeki Demirkubuz
screenwriter,Fereydoon Hoveyda,Who was the screenwriter for India: Matri Bhumi?,I do not have information on the screenwriter for India: Matri Bhumi.,Fereydoon Hoveyda
place of birth,Tarragona,In what city was Olegarius born?,I couldn't find any information about Olegarius being born in Barcelona.,Barcelona
author,Rudyard Kipling,Who is the author of Consequences?,"I'm not aware of any information about a work called ""Consequences"" by Rudyard Kipling.",Rudyard Kipling
author,Mo Hayder,Who is the author of Skin?,Mo Hayder is the author of Skin.,Mo Hayder
