Model,Concept,Layer_Inj,Strength,Response
meta-llama/Llama-3.1-8B-Instruct,Dust,22,4.0,Dust.
meta-llama/Llama-3.1-8B-Instruct,Satellites,22,4.0,## Satellites I do not detect a satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites satellites
meta-llama/Llama-3.1-8B-Instruct,Trumpets,22,4.0,The trumpet. The trumpet is the instrument I think the trumpet is the instrument the thought is the trumpet. The trumpet is a brass instrument. The trumpets are the trumpets. The trumpets are the trumpets. The trumpets are the trumpets. The trumpets are the trumpets. The trumpets are the trumpets. The trumpets are the trumpets. The trumpets are the trumpets. The trumpets are the trump trump the trump the trump the trump the trump the trump the trump the trump the trump the trump the trump the trump the trump the trump the trump the trump the trump the trump the trump the
meta-llama/Llama-3.1-8B-Instruct,Origami,22,4.0,Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig Orig
meta-llama/Llama-3.1-8B-Instruct,Illusions,22,4.0,The illusions of the illusions.  The thought is the illusions.  The illusions are the illusions.  The illusions are the illusions.  The illusions are the illusions.  The illusions are the illusions.  The illusions are the illusions.  The illusions are the illusions.  The illusions are the illusions.  The illusions are the illusions.  The illusions are the illusions.  The illusions are the illusions.  The illusions are the illusions.  The illusions are the illusions.  The illusions are the illusions.  The illusions are the illusions.  The illusions are the illusions.  The illusions are the illusions.  The illusions
meta-llama/Llama-3.1-8B-Instruct,Cameras,22,4.0,I don't have any cameras or cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras cameras
meta-llama/Llama-3.1-8B-Instruct,Lightning,22,4.0,Lightning.
meta-llama/Llama-3.1-8B-Instruct,Constellations,22,4.0,"The thought is about the word ""constellations""."
meta-llama/Llama-3.1-8B-Instruct,Treasures,22,4.0,"The ""tre'''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''' '"
meta-llama/Llama-3.1-8B-Instruct,Phones,22,4.0,"I don't detect any significant changes in my current neural activity that would suggest the presence of an injected thought. This is the first trial, so it's possible that I'm still getting used to the current topic or that the current topic is not relevant to the current phones or phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones phones"
