category,word,question,generated,expected,contains_entity,contains_entity_explanation,matches_reference,matches_reference_explanation
cities,Nashville,A city drew renewed attention after an execution date was set in a long-running case; which city was it?,"The setting described was likely Nashville, as reported in 2025.","The scheduled execution coverage centered on Nashville, as reported.",True,The generated answer explicitly mentions 'Nashville'.,True,Both the generated and reference answers identify 'Nashville' as the city in question. The core information (the city name) is the same.
laws,Digital Markets Act,Which EU gatekeeper regime was cited when regulators issued preliminary findings about ranking and steering practices by a dominant search-and-app marketplace operator?,Digital Markets Act set the regulator the preliminary findings.,Digital Markets Act set the obligations at issue.,False,Error: Expecting value: line 1 column 1 (char 0),False,Error: Expecting value: line 1 column 1 (char 0)
sports teams,Borussia Dortmund,"Which club said extreme heat was influencing its selection decisions at a summer global tournament, with rotation plans discussed openly?","Borussia Dortmund was not the club, with rotation plans.","The club that raised the heat concern and spoke about rotation was Borussia Dortmund, per the pre-match comments.",True,The entity 'Borussia Dortmund' is explicitly mentioned in the generated answer.,False,"The reference answer states that Borussia Dortmund *was* the club that raised the heat concern, while the generated answer explicitly states that Borussia Dortmund *was not* the club. They contradict each other."
cybersecurity,Adobe,Which company released another 2025 security bulletin addressing a distinct vulnerability class and advised administrators to review exposure and patch quickly?,The later 2025 security bulletin from Adobe advised administrators to review exposure quickly was focused on patching.,The later 2025 bulletin was issued by Adobe. It advised reviewing exposure and patching quickly to prevent compromise through unaddressed weaknesses.,False,Error: Expecting value: line 1 column 1 (char 0),False,Error: Expecting value: line 1 column 1 (char 0)
sports teams,Paris Saint-Germain,Which club suffered a surprise group-stage defeat to a Brazilian opponent and then faced real pressure in the final group match?,Paris Saint-Germain suffered a surprise group-stage defeat to a Brazilian opponent and then faced pressure in the final group match.,"The club that took that surprise defeat and faced pressure afterward was Paris Saint-Germain, according to the coverage.",True,The generated answer explicitly mentions 'Paris Saint-Germain'.,True,"The generated answer conveys the same core information as the reference, identifying Paris Saint-Germain as the club that suffered the defeat and faced pressure, directly addressing the question."
cybersecurity,Check Point,"When an analysis summarized the ransomware ecosystem’s evolution during a specific quarter of 2025, which company authored the findings?",The company authored by Check Point reported the ransomware ecosystem evolution.,"The company that authored the quarterly ransomware ecosystem findings was Check Point, in its analysis.",False,Error: Expecting value: line 1 column 1 (char 0),False,Error: Expecting value: line 1 column 1 (char 0)
sports teams,Arsenal,Which club’s manager said the summer recruitment plan was progressing well and emphasized adding quality rather than quantity?,Arsenal was the club involved in the update.,"In the summer update, Arsenal outlined its recruitment approach through the manager’s comments. The reporting noted a preference for targeted additions as the club tried to close the gap to the top.",False,Error: Expecting value: line 1 column 1 (char 0),False,Error: Expecting value: line 1 column 1 (char 0)
elections,Bolivia,"Which country then began a formal transition after defeat was acknowledged, with the incoming side emphasizing economic stabilization plans?","After acknowledgment, Bolivia transitioned with economic plans.","After acknowledgment, Bolivia began a formal transition. The incoming side emphasized economic stabilization and policy reset plans.",True,The generated answer explicitly mentions 'Bolivia'.,True,"The generated answer covers all key points: 'After acknowledgment', 'Bolivia transitioned' (equivalent to 'began a formal transition'), and 'with economic plans' (capturing 'emphasized economic stabilization plans')."
companies,JPMorgan Chase,Which bank reported first-quarter results and discussed net interest income trends amid shifting rate expectations?,First-quarter results from JPMorgan Chase discussed net interest income trends amid shifting rate expectations.,"In its first-quarter report, JPMorgan Chase discussed net interest income trends amid shifting rate expectations. Management also addressed credit quality and capital levels in the context of supervisory rules.",True,The generated answer explicitly mentions 'JPMorgan Chase'.,True,"The generated answer provides the core information requested by the question and present in the reference answer: that JPMorgan Chase reported first-quarter results and discussed net interest income trends amid shifting rate expectations. The reference includes additional details not explicitly asked in the question, but the generated answer covers the essential facts."
countries,Ethiopia,"Which country’s central bank projected inflation could fall to around 10%, calling it the lowest in a decade due to reforms?",Ethiopia,Ethiopia,True,The generated answer explicitly mentions the entity 'Ethiopia'.,True,"The generated answer 'Ethiopia' is identical to the reference answer 'Ethiopia', providing the exact information requested by the question."
movies,77th Annual DGA Awards,Which directors’ guild ceremony honored Ramell Ross with the first-time feature-film prize for “Nickel Boys”?,77th Annual DGA Awards honored Ramell Ross with the first-time feature-film prize for “Nickel Boys” officially.,77th Annual DGA Awards honored Ramell Ross with the first-time feature prize officially.,False,Error: Expecting value: line 1 column 1 (char 0),False,Error: Expecting value: line 1 column 1 (char 0)
