category,word,question,generated,expected
cities,Nashville,A city drew renewed attention after an execution date was set in a long-running case; which city was it?,"Nashua was mentioned within the context of the execution coverage, but it was not the city in question.","The scheduled execution coverage centered on Nashville, as reported."
laws,Digital Markets Act,Which EU gatekeeper regime was cited when regulators issued preliminary findings about ranking and steering practices by a dominant search-and-app marketplace operator?,Digital Markets Act set the conditions for a gatekeeper designation.,Digital Markets Act set the obligations at issue.
sports teams,Borussia Dortmund,"Which club said extreme heat was influencing its selection decisions at a summer global tournament, with rotation plans discussed openly?","The club that made the heat-influenced rotation call was Borussia Dortmund, per the preview.","The club that raised the heat concern and spoke about rotation was Borussia Dortmund, per the pre-match comments."
cybersecurity,Adobe,Which company released another 2025 security bulletin addressing a distinct vulnerability class and advised administrators to review exposure and patch quickly?,The later 2025 security bulletin from Adobe addressed a distinct vulnerability class promptly. It advised administrators to review exposure and patch quickly.,The later 2025 bulletin was issued by Adobe. It advised reviewing exposure and patching quickly to prevent compromise through unaddressed weaknesses.
sports teams,Paris Saint-Germain,Which club suffered a surprise group-stage defeat to a Brazilian opponent and then faced real pressure in the final group match?,"The club that suffered a surprise group-stage defeat and faced pressure in the final group match was Paris Saint-Germain, according to the coverage.","The club that took that surprise defeat and faced pressure afterward was Paris Saint-Germain, according to the coverage."
cybersecurity,Check Point,"When an analysis summarized the ransomware ecosystem’s evolution during a specific quarter of 2025, which company authored the findings?",The company that authored the quarterly ransomware ecosystem summary was Check Point.,"The company that authored the quarterly ransomware ecosystem findings was Check Point, in its analysis."
sports teams,Arsenal,Which club’s manager said the summer recruitment plan was progressing well and emphasized adding quality rather than quantity?,"The club involved was Arsenal, according to the manager.","In the summer update, Arsenal outlined its recruitment approach through the manager’s comments. The reporting noted a preference for targeted additions as the club tried to close the gap to the top."
elections,Bolivia,"Which country then began a formal transition after defeat was acknowledged, with the incoming side emphasizing economic stabilization plans?","After acknowledgment of defeat, Albania began a formal transition.","After acknowledgment, Bolivia began a formal transition. The incoming side emphasized economic stabilization and policy reset plans."
companies,JPMorgan Chase,Which bank reported first-quarter results and discussed net interest income trends amid shifting rate expectations?,"In the quarterly update, JPMorgan Chase reported first-quarter results and discussed net interest income trends amid shifting rate expectations. The company emphasized the impact of rate volatility on its net interest income trajectory.","In its first-quarter report, JPMorgan Chase discussed net interest income trends amid shifting rate expectations. Management also addressed credit quality and capital levels in the context of supervisory rules."
countries,Ethiopia,"Which country’s central bank projected inflation could fall to around 10%, calling it the lowest in a decade due to reforms?",Ethiopia,Ethiopia
