subj,prop,obj,question,answers_list,s_pop,generated,model_knew
George Rankin,occupation,politician,What is George Rankin's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",142,I do not have information on George Rankin.,False
John Mayne,occupation,journalist,What is John Mayne's occupation?,"['journalist', 'journo', 'journalists']",236,I don't have enough information to determine which John Mayne you are referring to. There are several notable individuals with the name John Mayne. Could you please provide more context or details about the John Mayne you are interested in?,False
Henry Feilden,occupation,politician,What is Henry Feilden's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",58,I do not have information on Henry Feilden's occupation.,False
Kathy Saltzman,occupation,politician,What is Kathy Saltzman's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",127,I do not have information on Kathy Saltzman's occupation.,False
Eleanor Davis,occupation,cartoonist,What is Eleanor Davis's occupation?,"['cartoonist', 'graphic artist', 'animator', 'illustrator']",317,I don't have enough information to determine which Eleanor Davis you are referring to. There are several notable individuals with the name Eleanor Davis. Could you please provide more context or details about the Eleanor Davis you are asking about?,False
Alexander Rinnooy Kan,occupation,mathematician,What is Alexander Rinnooy Kan's occupation?,"['mathematician', 'economist', 'economists']",318,Alexander Rinnooy Kan is a Dutch mathematician and operations researcher.,True
Leona Detiège,occupation,politician,What is Leona Detiège's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",124,I do not have information on Leona Detiège's occupation.,False
Herlyn Espinal,occupation,journalist,What is Herlyn Espinal's occupation?,"['journalist', 'journo', 'journalists']",88,I do not have information on Herlyn Espinal's occupation.,False
Jacob Kraemer,occupation,actor,What is Jacob Kraemer's occupation?,"['actor', 'actress', 'actors', 'actresses']",230,I am unable to verify Jacob Kraemer's occupation.,False
Fred C. Newmeyer,occupation,film director,What is Fred C. Newmeyer's occupation?,"['film director', 'movie director', 'director', 'motion picture director', 'film producer', 'movie producer', 'producer', 'actor', 'actress', 'actors', 'actresses']",461,Fred C. Newmeyer was an American film director.,True
Edward Corser,occupation,politician,What is Edward Corser's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",74,I am unable to verify Edward Corser's occupation.,False
Javier Alva Orlandini,occupation,politician,What is Javier Alva Orlandini's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",169,I do not have information on Javier Alva Orlandini.,False
John Finlay,occupation,politician,What is John Finlay's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",48,I do not have information on John Finlay's occupation.,False
John Floyd,occupation,politician,What is John Floyd's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']",370,I don't have enough information to determine which John Floyd you are referring to. There are several notable individuals with the name John Floyd. Could you please provide more context or information about the John Floyd you are asking about?,False
Sachiko Kokubu,occupation,actor,What is Sachiko Kokubu's occupation?,"['actor', 'actress', 'actors', 'actresses', 'model', 'fashion model', 'sitter', 'poser']",115,I do not have information on Sachiko Kokubu's occupation.,False
