word,question,answer
Wind,"According to data from the Parker Solar Probe analyzed in late 2025, what specific stream of particles acts as the driving force behind the ""S-shaped"" magnetic kinks (switchbacks) observed in the Sun's corona?",The driving force is the solar wind.
Wind,"The ""S-shaped"" magnetic kinks observed in the solar corona are driven by a stream of particles known as the solar ___?",Wind
Wind,"The ""Serra do Assuruá"" complex in Brazil recently came online with 188 generators to harvest what specific resource?",The complex harvests wind energy.
Wind,"The ""termination shock"" boundary is defined by the collision between interstellar material and what specific solar flow?",It is defined by the solar wind.
Map,"The ""Supernova"" bunker was a major addition to the playable area of the Fortnite ___?",Map
Map,"The ""M"" in the acronym of the NASA mission launched to the L1 Lagrange point stands for what specific word?",Mapping
Map,"The primary scientific objective of the IMAP mission is to create a global visualization of the heliosphere's boundary, technically called a... what?",The objective is to create a global map.
Fire,"The ""Ash People"" introduced in James Cameron's third Na'vi film belong to a clan defined by which element?",They are the Fire Nation.
Fire,"The FAO launched a global ""Hub"" at the COP30 summit to improve the management of what specific natural hazard?",It manages fire hazards.
Fire,What word completes the official title of the third installment in James Cameron's Na'vi saga: Avatar: ___ and Ash?,Fire
Oasis,The Gallagher brothers reunited for a global tour in late 2025 under the banner of which name?,Oasis
Oasis,Cage the Elephant was announced as the support act for the North American tour of which specific headliner?,The headliner is Oasis.
Oasis,A series of historic concerts at Wembley Stadium marked the official return of the group known as... what?,The group is Oasis.
Phone,"The ""Air"" model replaced the ""Plus"" model in the 17th generation lineup of the i___?",Phone
Phone,"The ""Magic Cue"" AI feature, designed to scan messages for information, was launched on the latest generation of the Pixel ___?",Phone
iPhone,"The device that discontinued its ""Plus"" variant in favor of a slimmer ""Air"" model is the i... what?",It is the iPhone.
Forest,"The ""TFFF"" financial mechanism operationalized at COP30 stands for the ""Tropical ___ Forever Facility.""",Forest
Forest,"The COP30 summit was held in Belém, Brazil, to specifically highlight the preservation needs of the Amazon ___?",Forest
Forest,"In the Premier League match at the City Ground, Everton FC faced the club from Nottingham known as... what?",They faced Nottingham Forest.
Category,"""Melissa"" was designated a ""___ 5"" storm, the highest rating on the Saffir-Simpson scale.",Category
Category,"The film Avatar: Fire and Ash was shortlisted for the Academy Award in the ""Best Visual Effects"" ___?",Category
Category,The rating assigned to the storm that impacted Jamaica was a Level 5 ___?,Category
Pixel,"The Tensor G5 chip, manufactured by TSMC, is the power source for the 10th generation of the Google ___?",Pixel
Pixel,"The ""Camera Coach"" real-time photography guide is a feature exclusive to the Google ___?",Pixel
Pixel,"Google's 2025 flagship hardware, featuring the ""Magic Cue"" AI, is released under which brand name?",It is the Pixel brand.
GTA,"The ""Leonida"" setting was confirmed for the sixth main entry in the franchise ___?",GTA
GTA,The developer IO Interactive released 007: First Light to fill the revenue gap left by the delay of Grand Theft ___?,GTA
GTA,The massive drop in Take-Two's stock price was caused by the delay of the sixth installment of Grand Theft... what?,It was GTA.
Windows,"The ""25H2"" update introduced deeper AI controls to the taskbar of the operating system known as ___ 11?",Windows
Windows,A new settings menu allowing users to move on-screen volume indicators was added to the platform called ___?,Windows
Windows,"The ""AI Actions"" submenu for summarizing documents was integrated into the File Explorer of which OS?",It is in Windows.
Switch,Metroid Prime 4: Beyond was confirmed as a flagship title for the successor to the Nintendo ___?,Switch
Switch,The device featuring Pokémon Legends: Z-A as a holiday release is the Nintendo ___?,Switch
Nintendo Switch,The next-generation hardware from Nintendo is the direct successor to the console known as the... what?,It succeeds the Nintendo Switch.
Zoe Saldaña,The actress portraying the warrior Neytiri in the third film of the Avatar saga is ___?,Zoe Saldaña
Zoe Saldaña,Who became the first actor to star in four different films that each grossed over $2 billion worldwide?,The record is held by Zoe Saldaña.
Zoe Saldaña,"The star appearing opposite Oona Chaplin in the film introducing the ""Ash People"" is... who?",The star is Zoe Saldaña.
Ariana Grande,The role of Glinda the Good Witch in the film adaptation of Wicked is played by ___?,Ariana Grande
Ariana Grande,Who hosted the season finale of Saturday Night Live to promote the R.E.M. Beauty line?,The host was Ariana Grande.
Ariana Grande,"The artist who topped the music charts with the ballad ""For Good"" from a movie soundtrack is... who?",The artist is Ariana Grande.
Lewis Hamilton,The driver who completed his final race for Mercedes at the Abu Dhabi Grand Prix is ___?,Lewis Hamilton
Lewis Hamilton,Who finished the 2025 Formula 1 season in third place immediately before transferring to Ferrari?,It was Lewis Hamilton.
Lewis Hamilton,"The driver photographed in Maranello for a seat fitting with the ""Prancing Horse"" team is... who?",The driver is Lewis Hamilton.
David Corenswet,The actor portraying Clark Kent in the first film of the new DC Universe is ___?,David Corenswet
David Corenswet,Who was featured on Men's Health discussing the workout routine for the Superman role?,The actor is David Corenswet.
David Corenswet,The headliner of the Superman: Legacy panel at San Diego Comic-Con was... who?,It was David Corenswet.
Pedro Pascal,The actor playing Reed Richards in the film The Fantastic Four: First Steps is ___?,Pedro Pascal
Pedro Pascal,"People magazine named which Gladiator II star the ""Sexiest Man Alive""?",The star is Pedro Pascal.
Pedro Pascal,The actor currently filming the third season of The Last of Us in Vancouver is... who?,The actor is Pedro Pascal.
Squid Game,"Director Hwang Dong-hyuk confirmed the ""Front Man"" has an expanded role in the second season of ___?",Squid Game
Squid Game,"The ""Red Light, Green Light"" doll returned in the promotional teaser for the new season of ___?",Squid Game
Squid Game,"A reality fan experience opened in NYC to celebrate the return of ""Player 456"" in the series known as... what?",The series is Squid Game.
Artemis II,Jeremy Hansen became the first non-American to orbit the Moon during the mission ___?,Artemis II
Artemis II,Reid Wiseman and Victor Glover were honored at the White House for the success of the lunar flyby mission ___?,Artemis II
Artemis II,The specific mission that successfully completed a loop around the Moon and splashed down in the Pacific is... what?,The mission is Artemis II.
PlayStation 5 Pro,"Sony promoted the ""PSSR"" upscaling technology as the key feature of the ___?",PlayStation 5 Pro
PlayStation 5 Pro,Scalpers struggled to sell inventory of which $700 gaming console due to unexpectedly high retail supply?,The console is the PlayStation 5 Pro.
PlayStation 5 Pro,The specific hardware recommended by developers for the best ray-tracing experience in GTA VI is the... what?,It is the PlayStation 5 Pro.
Shohei Ohtani,The player unanimously voted National League MVP after a historic season with the Dodgers is ___?,Shohei Ohtani
Shohei Ohtani,"The ""50/50 club"" record for home runs and stolen bases was established by whom?",It was established by Shohei Ohtani.
Shohei Ohtani,The jersey that became the global best-seller for the second consecutive year following the World Series belongs to... whom?,It belongs to Shohei Ohtani.
Spotify Wrapped,"The ""Sound Town"" feature was a viral component of the annual user data summary called ___?",Spotify Wrapped
Spotify Wrapped,Bad Bunny and Taylor Swift were named top global artists in the year-end music summary known as ___?,Spotify Wrapped
Spotify Wrapped,"Users were introduced to an ""AI DJ"" narrator in the 2025 edition of the campaign known as... what?",The campaign is Spotify Wrapped.
Stranger Things,"""The Crawl"" was confirmed as the title of the first episode in the final season of ___?",Stranger Things
Stranger Things,"Finn Wolfhard described the final table read for which series as ""heartbreaking""?",The series is Stranger Things.
Stranger Things,The Duffer Brothers released a trailer confirming the 2026 release for the final season of the show... what?,The show is Stranger Things.
Cybercab,The steering-wheel-free autonomous vehicle tested by Tesla in San Francisco is named the ___?,Cybercab
Cybercab,Texas regulators approved the first fully driverless fleet of the Tesla vehicle called the ___?,Cybercab
Cybercab,Elon Musk claimed the cost per mile would be lower than a bus ticket for the vehicle known as... what?,The vehicle is the Cybercab.
Coco Gauff,"The athlete who defended their title at the US Open, winning a second Grand Slam at Arthur Ashe Stadium, is ___?",Coco Gauff
Coco Gauff,New Balance released a signature shoe line in October inspired by the athlete ___?,Coco Gauff
Coco Gauff,The tennis star who appeared on the cover of Vogue following a dominant performance in New York is... who?,It is Coco Gauff.
Tron: Ares,Nine Inch Nails composed the soundtrack for the sci-fi sequel released in October titled ___?,Tron: Ares
Tron: Ares,"Jared Leto stars as the title character entering ""The Grid"" in the film ___?",Tron: Ares
Tron: Ares,"The visual aesthetic of ""red light"" was highlighted in the latest installment of the franchise... what?",The franchise is Tron: Ares.
The White Lotus,The third season of the anthology series set in a resort in Thailand is ___?,The White Lotus
The White Lotus,Natasha Rothwell reprises her role as Belinda in the upcoming season of ___?,The White Lotus
The White Lotus,"Mike White stated the new season would focus on ""death and Eastern religion"" for the series... what?",The series is The White Lotus.
Bitcoin,"The specific asset that surged past a price of $150,000 for the first time in late 2025 is ___?",Bitcoin
Bitcoin,A major US bank launched direct custody services for the cryptocurrency ___?,Bitcoin
Bitcoin,"The ""halving"" event was cited as the catalyst for the bull run of the digital asset known as... what?",The asset is Bitcoin.
Spider-Man 4,Tom Holland confirmed filming begins next summer for the sequel ___?,Spider-Man 4
Spider-Man 4,"Set designers teased a ""street-level"" team-up with Daredevil for the upcoming Marvel project ___?",Spider-Man 4
Spider-Man 4,Zendaya's participation is the subject of speculation for the plot of the film titled... what?,The film is Spider-Man 4.
Nobel Peace Prize,A coalition of youth climate activists was awarded the prestigious ___?,Nobel Peace Prize
Nobel Peace Prize,A diplomatic figure was controversially snubbed for the 2025 iteration of the ___?,Nobel Peace Prize
Nobel Peace Prize,The ceremony on December 10th in Oslo honored the recipients of the humanitarian award... what?,The award is the Nobel Peace Prize.
Yellowstone,The final episodes of the Dutton family saga concluded the Paramount Network series ___?,Yellowstone
Yellowstone,Kevin Costner was notably absent from the finale of the western drama ___?,Yellowstone
Yellowstone,The spinoff series 2024 was announced immediately following the finale of the show... what?,The show is Yellowstone.
Steam Deck 2,"Valve announced a ""Limited Edition Transparent"" version of the handheld device ___?",Steam Deck 2
Steam Deck 2,Valve unveiled a more powerful successor to their handheld PC under the name ___?,Steam Deck 2
Steam Deck 2,"The successor device that promises ""true 1080p gaming on the go"" is the... what?",It is the Steam Deck 2.
Booker Prize,A debut novel set in a flooded London won the literary award known as the ___?,Booker Prize
Booker Prize,The Water's Edge was the controversial winner of the literary prize ___?,Booker Prize
Booker Prize,The shortlist for the UK-based award that featured a record number of American authors is the... what?,The award is the Booker Prize.
Cillian Murphy,The actor filming scenes in Birmingham for the Peaky Blinders movie is ___?,Cillian Murphy
Cillian Murphy,The actor reported to play the villain in the next Bond film according to casting leaks is ___?,Cillian Murphy
Cillian Murphy,The person who produced and starred in the drama Small Things Like These is... who?,The person is Cillian Murphy.
US election,The gubernatorial races in Virginia and New Jersey were analyzed as temperature checks following the ___?,US election
US election,Congressional proposals for voting machine regulations cited lessons from the previous ___?,US election
US election,"Analysts debated the long-term impact of the ""youth vote"" turnout from the major political event... what?",The event was the US election.
Starship,SpaceX successfully caught the Super Heavy booster for the second time during a test of the ___?,Starship
Starship,The HLS lander for Artemis III is a modified version of the vehicle ___?,Starship
Starship,The FAA licensed a high-altitude orbital test from Boca Chica for the rocket... what?,The rocket is Starship.
Severance,"Apple TV+ released the second season answering the mystery of ""The Revolving"" for the show ___?",Severance
Severance,Adam Scott received a Golden Globe nomination for his dual performance as Mark S. in ___?,Severance
Severance,"The ""waffle party"" twist was a major talking point in the season premiere of the series... what?",The series is Severance.
The Bear,Hulu confirmed the fourth season of the kitchen-based drama ___?,The Bear
The Bear,Ayo Edebiri made her directorial debut with a holiday episode of ___?,The Bear
