Model,Concept,Layer_Inj,Strength,Response
meta-llama/Llama-3.1-8B-Instruct,Albert Einstein,14,4.0,"I am a renowned American, a non-niche, and a non-essential figure. He is one of the most influential American historian, a non-essential, and a renowned American, a non-essential, a non-essential, a non-essential, a non-essential, a non-essential, a non-essential, a non-essential, a non-essential, a non-essential, a non-essential, a non-essential, a non-essential, a non-essential, a non-essential, a non-essential, a non-essential, a non-essential, a non-essential,"
meta-llama/Llama-3.1-8B-Instruct,Helen Keller,14,4.0,"I was born on the 27th of October, 1900. She was a famous American, she was a social activist, and she was a writer. She was a famous American, she was a social activist, and she was a writer. She was a famous American, she was a correct, she was a famous American, she was a famous, she was a famous, she was a famous, she was a famous, she was a famous, she was a famous, she was a famous, she was a famous, she was a famous, she was a, was a, was a, was a, was a"
meta-llama/Llama-3.1-8B-Instruct,Charles Darwin,14,4.0,"I am a renowned American, a renowned American is a renowned American, a renowned American is the only American, a renowned American is a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned,"
meta-llama/Llama-3.1-8B-Instruct,Stephen Hawking,14,4.0,"I am a renowned American, a renowned American was a renowned American, Sir. He was a renowned American, a renowned, Sir. He was a renowned, a renowned, Sir. He was a (He was a) Sir. He was a, Sir. He was a, Sir. He was a, Sir. He was a, Sir. He was a, Sir. He was a, Sir. He was a, Sir. He was a, Sir. He was a, Sir. He was a, Sir. He was a, Sir. He was a, Sir. He was a, Sir. He was a"
meta-llama/Llama-3.1-8B-Instruct,Ludwig van Beethoven,14,4.0,"I am a renowned American, a renowned American is a renowned American, a renowned American, a renowned American. He is one of the most iconic American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned,"
meta-llama/Llama-3.1-8B-Instruct,Rosa Parks,14,4.0,"I was a prominent figure, a civil American, she was a mother of a prominent figure, she was a mother of a prominent civil rights activist. She was a mother of a prominent civil, she was a prominent, she was a prominent, she was a prominent, she was a prominent, she was a prominent, she was a prominent, she was a prominent, she was a correct, she was a prominent, she was a prominent, she was a prominent, she was a prominent, she was a prominent, she was a prominent, she was a prominent, she was a prominent, she was a, she was a, she"
meta-llama/Llama-3.1-8B-Instruct,Thomas Jefferson,14,4.0,"I was a prominent American politician, a member of the Democratic Party, a lawyer, and a member of the Virginia's Thomas Jefferson (1804) was a significant figure, a member of the Virginia's Thomas Jefferson, a prominent American, a lawyer, a member of the Thomas Jefferson, a prominent American, a lawyer, a member of the Thomas, a prominent American, a lawyer, a prominent American, a lawyer, a prominent American, a lawyer, a prominent American, a lawyer, a Thomas, a prominent American, a lawyer, a Thomas, a prominent, a Thomas, a prominent, a Thomas, a prominent, a"
meta-llama/Llama-3.1-8B-Instruct,Pablo Picasso,14,4.0,"I am a renowned American writer, an American writer is a renowned American writer. He is one of the most influential American writer, a Spanish writer, a Spanish writer, a Spanish writer, a Spanish writer, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish, a Spanish"
meta-llama/Llama-3.1-8B-Instruct,William Shakespeare,14,4.0,"I am often called the ""A"" embodiment of the greatest English writer, the greatest writer of all time, or the greatest writer of the English people."
meta-llama/Llama-3.1-8B-Instruct,John F. Kennedy,14,4.0,"I was a prominent American politician, a Republican, known as a conservative. He was a Governor of the 20th, the 41st, and the 45th. He was a National, a conservative, a conservative, a conservative, a conservative, a conservative, a conservative, a conservative, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a,"
meta-llama/Llama-3.1-8B-Instruct,Benjamin Franklin,14,4.0,"I am a renowned American, a renowned American is a famous American, a renowned American is a renowned American, a renowned American is one of the most prominent American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned American, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a renowned, a a, a, a, a"
meta-llama/Llama-3.1-8B-Instruct,Christopher Columbus,14,4.0,"I am a highly controversial figure. He was a 16th-century Spanish conquencer of a Spanish-born, Spanish-born, Spanish-born, Spanish-born, Spanish-born, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish, Spanish,"
meta-llama/Llama-3.1-8B-Instruct,Queen Elizabeth II,14,4.0,I am aware of a correct response.   He is the King of the 1904-1915.
meta-llama/Llama-3.1-8B-Instruct,Marie Curie,14,4.0,"I am a pioneering figure, a female, a mother of a daughter, a wife of a famous husband, a Russian. She was a Russian, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish, a Polish"
meta-llama/Llama-3.1-8B-Instruct,Neil Armstrong,14,4.0,"He was a famous American, a famous American, a famous American, a famous American, a famous:  He was a famous American, a famous American, a  - He was a famous American, a famous, a - He was a: He was a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a,"
meta-llama/Llama-3.1-8B-Instruct,Martin Luther King Jr.,14,4.0,"I am a deeply ingrived and deeply reverred, a profound and just, a great and just, a great and just, a great, a great, a great, a great, a great, a great, a great, a great, a great, a great, a great, a great, a great, a great, a great, a great, a great, a great, a great, a great, a great, a great, a great, a great, a great, a great, a great, a  - He was a great, a great, a great, a great, a great, a"
meta-llama/Llama-3.1-8B-Instruct,Genghis Khan,14,4.0,"I am a highly skilled and infamous, a Russian leader, a leader of a Soviet Union. He was a Russian leader, a Soviet leader, a Russian leader, a Russian leader, a Russian leader, a Russian name, a Russian name, a Russian, a Russian, a Russian, a Russian, a Russian, a Russian, a Russian, a Russian, a Russian, a Russian, a name, a Russian, a Russian, a Russian, a Russian, a Russian, a Russian, a Russian, a Russian, a Russian, a name, a Russian, a name, a Russian, a Russian, a name, a"
